iter	RMSE
710	205066.9229
711	205023.3065
712	204981.735
713	204938.3305
714	204894.9921
715	204851.5959
716	204810.527
717	204767.2069
718	204724.1068
719	204659.0405
720	204615.8426
721	204572.7194
722	204529.6972
723	204488.9047
724	204446.011
725	204383.2014
726	204340.4608
727	204299.504
728	204256.8785
729	204214.2913
730	204173.2613
731	204130.817
732	204088.4322
733	204046.749
734	204004.3084
735	203962.0581
736	203919.7214
737	203877.4107
738	203835.2781
739	203793.192
740	203751.0025
741	203709.0271
742	203667.0981
743	203625.2508
744	203583.4394
745	203541.5031
746	203499.6028
747	203385.0989
748	203343.399
749	203301.5853
750	203259.8476
751	203218.3218
752	203177.5549
753	203120.6625
754	203079.0942
755	203037.5903
756	202996.1204
757	202954.679
758	202913.3877
759	202874.057
760	202832.7299
761	202791.6433
762	202750.5433
763	202710.7662
764	202671.3045
765	202630.2112
766	202589.8278
767	202548.9578
768	202507.9696
769	202469.1832
770	202428.3248
771	202387.5433
772	202346.8154
773	202306.1082
774	202246.6497
775	202115.0931
776	202074.4058
777	202033.7614
778	201972.165
779	201933.1329
780	201724.0786
781	201683.4624
782	201642.9255
783	201602.4473
784	201562.0235
785	201521.6483
786	201481.3541
787	201441.1304
788	201403.0751
789	201362.7845
790	201322.5512
791	201282.5345
792	201242.3861
793	201202.4688
794	201162.603
795	201122.6344
796	201068.529
797	201028.5861
798	200990.4249
799	200950.7124
800	200911.0341
801	200871.3728
802	200831.7445
803	200792.0118
804	200752.3274
805	200450.9372
806	200411.2726
807	200371.6196
808	200332.6676
809	200293.1635
810	200253.768
811	200202.6178
812	200163.2916
813	200124.0416
814	200084.8161
815	200047.3913
816	200008.1056
817	199969.1878
818	199854.5371
819	199816.396
820	199777.2881
821	199738.2328
822	199699.2172
823	199565.4047
824	199526.4276
825	199487.648
826	199450.7767
827	199412.0015
828	199373.2799
829	199336.2776
830	199297.6764
831	199261.1999
832	199223.646
833	199187.2764
834	199148.8268
835	199110.434
836	198957.1395
837	198918.5237
838	198880.1147
839	198841.8115
840	198803.5491
841	198747.6604
842	198709.4607
843	198671.9423
844	198633.8231
845	198595.7082
846	198557.7029
847	198506.8314
848	198470.5842
849	198434.7311
850	198396.877
851	198359.0531
852	198322.5096
853	198284.6369
854	198247.5568
855	198209.9094
856	198172.1755
857	197876.7441
858	197838.606
859	197800.8015
860	197765.1096
861	197728.1415
862	197672.497
863	197634.8908
864	197597.5147
865	197562.5389
866	197525.2094
867	197487.779
868	197450.5669
869	197413.4456
870	197376.1921
871	197338.9816
872	197303.5562
873	197267.6129
874	197230.7004
875	197193.649
876	197156.636
877	197119.6355
878	197082.6884
879	197045.9422
880	196994.9325
881	196959.864
882	196923.0552
883	196886.3961
884	196849.6377
885	196813.6072
886	196776.9422
887	196740.4278
888	196703.8354
889	196667.3905
890	196630.9881
891	196594.6161
892	196559.9486
893	196523.6525
894	196490.495
895	196456.7962
896	196420.5023
897	196384.2379
898	196347.9878
899	196313.7022
900	196277.5293
901	196241.4082
902	196206.0901
903	196170.0442
904	196134.0068
905	196081.9263
906	196046.0318
907	196010.0807
908	195974.2841
909	195938.3734
910	195902.6507
911	195866.7951
912	195832.9459
913	195798.3699
914	195762.7771
915	195727.0321
916	195692.7164
917	195657.0436
918	195621.5213
919	195586.8567
920	195551.3212
921	195515.7994
922	195482.0586
923	195447.5589
924	195414.1034
925	195378.9434
926	195343.8337
927	195310.0182
928	195274.7003
929	195239.4348
930	195206.0277
931	195172.751
932	195142.235
933	195107.1966
934	195072.2902
935	195037.1586
936	195003.1942
937	194968.3203
938	194933.2941
939	194898.2991
940	194863.3398
941	194828.4394
942	194722.6075
943	194688.6505
944	194653.9498
945	194620.9108
946	194589.0396
947	194554.2716
948	194519.5483
949	194486.0797
950	194454.033
951	194421.2969
952	194386.6761
953	194352.1068
954	194317.6867
955	194249.8972
956	194216.508
957	194182.214
958	194147.8958
959	194113.687
960	194079.512
961	194027.9393
962	193994.7821
963	193943.586
964	193909.4019
965	193871.3957
966	193836.7127
967	193789.8113
968	193753.1708
969	193718.9333
970	193686.6579
971	193650.5102
972	193617.0515
973	193584.0861
974	193549.6361
975	193340.7028
976	193307.7989
977	193275.3539
978	193241.4803
979	193207.5141
980	193173.7062
981	193139.9413
982	193109.6356
983	193075.9414
984	193042.1729
985	193008.5689
986	192976.1345
987	192942.4495
988	192910.346
989	192876.8512
990	192843.3905
991	192809.9709
992	192778.8934
993	192745.5189
994	192712.191
995	192678.73
996	192645.5506
997	192613.9375
998	192496.856
999	192463.6059
