acteurs,anecdotes,duree,entrees,genre,pays,realisateur,studio,titre
"Margot Robbie,Ryan Gosling,America Ferrera",15,115,1680490,"Aventure,Comédie,Famille",U.S.A.,Greta Gerwig,Warner Bros. France,Barbie
"Jason Statham,Jing Wu,Shuya Sophia Cai",15,116,696823,"Action,Thriller",U.S.A.,Ben Wheatley,Warner Bros. France,En eaux très troubles
"Léa Drucker,Olivier Rabourdin,Samuel Kircher",11,104,58358,"Drame,Thriller",France,Catherine Breillat,Pyramide Distribution,L'Été dernier
"Tarek Boudali,Philippe Lacheau,Julien Arruti",7,87,872669,"Action,Comédie",France,Tarek Boudali,StudioCanal,3 jours max
"Virginie Efira,Melvil Poupaud,Dominique Reymond",8,105,220327,"Drame,Thriller",France,Valérie Donzelli,Diaphana Distribution,L'Amour et les Forêts
"Océane Demontis,Ariana DeBose,Lambert Wilson",8,102,628897,"Aventure,Animation,Famille",U.S.A.,"Chris Buck,Fawn Veerasunthorn",The Walt Disney Company France,Wish - Asha et la bonne étoile
"Sandra Bullock,Channing Tatum,Daniel Radcliffe",9,112,317713,"Action,Aventure,Comédie",U.S.A.,"Aaron Nee,Adam Nee",Paramount Pictures France,Le Secret de la cité perdue
"John Malkovich,Fanny Ardant,Emilie Dequenne",7,110,112355,"Comédie,Drame,Romance",Luxembourg,Gilles Legardinier,Universal Pictures International France,Complètement cramé !
"Jean-Paul Rouve,Kim Higelin,Laetitia Casta",10,118,59266,"Biopic,Drame",France,Vanessa Filho,Pan Distribution,Le Consentement
"Laurent Lafitte,Stacy Martin,Bertrand de Roffignac",8,94,31266,"Biopic,Comédie dramatique,Historique",France,Olivier Py,Memento Distribution,Le Molière imaginaire
"Juliette Binoche,Benoît Magimel,Emmanuel Salinger",11,136,94401,"Drame,Historique,Romance",France,Tran Anh Hung,Gaumont Distribution,La Passion de Dodin Bouffant
"Gérard Depardieu,Catherine Frot,Jean-Pierre Darroussin",8,101,75111,"Drame,Historique",France,Lucas Belvaux,Ad Vitam,Des hommes
"Didier Bourdon,Hakim Jemili,Camille Lou",9,101,329408,Comédie,France,"Antonin Fourlon,Frédéric Forestier",UGC Distribution,Chasse gardée
"Magalie Lépine Blondeau,Pierre-Yves Cardinal,Francis-William Rhéaume",5,110,77363,"Comédie,Romance",Canada,Monia Chokri,Memento Distribution,Simple comme Sylvain
"Karim Leklou,Vimala Pons,François Chattot",6,108,23621,"Comédie,Drame,Fantastique",France,Stephan Castang,Capricci Films,Vincent doit mourir
"Tom Blyth,Rachel Zegler,Peter Dinklage",9,158,613191,"Action,Aventure,Science Fiction",U.S.A.,Francis Lawrence,Metropolitan FilmExport,Hunger Games: la Ballade du serpent et de l'oiseau chanteur
"Joel Edgerton,Sigourney Weaver,Quintessa Swindell",5,110,20443,"Drame,Romance,Thriller",U.S.A.,Paul Schrader,The Jokers / Les Bookmakers,Master Gardener
"Sofía Otero,Patricia López Arnaiz,Ane Gabarain",6,128,15669,Drame,Espagne,Estibaliz Urresola Solaguren,Jour2fête,20 000 espèces d'abeilles
"Arieh Worthalter,Arthur Harari,Stéphan Guérin-Tillié",11,116,110011,"Policier,Drame,Historique",France,Cédric Kahn,Ad Vitam,Le Procès Goldman
"Ichem Bougheraba,Emma Smet,Arriles Amrani",7,102,344268,Comédie,France,"Ali Boughéraba,Hakim Boughéraba",Apollo Films,Les SEGPA au ski
"Zac Efron,Harris Dickinson,Jeremy Allen White",12,133,46627,"Biopic,Drame",Grande-Bretagne,Sean Durkin,Metropolitan FilmExport,Iron Claw
"Paul Giamatti,Da’vine Joy Randolph,Dominic Sessa",10,134,57639,"Comédie,Drame",U.S.A.,Alexander Payne,Universal Pictures International France,Winter Break
