acteurs,anecdotes,duree,entrees,genre,pays,realisateur,studio,titre
"Franz Rogowski,Ben Whishaw,Adèle Exarchopoulos",6,92,11227,"Drame,Romance",France,Ira Sachs,SBS Distribution,Passages
"Ahmed Sylla,Mallory Wanecque,Julia Piaton",8,90,119238,Comédie dramatique,France,Ali Marhyar,Apollo Films / Orange Studio,Comme un prince
"Karin Viard,Bruno Podalydès,Sabine Azéma",5,90,95610,Comédie,France,Bruno Podalydès,UGC Distribution,Wahou !
"Timothée Chalamet,Léa Seydoux,Bill Murray",18,108,197450,"Comédie,Drame,Romance",U.S.A.,Wes Anderson,The Walt Disney Company France,The French Dispatch
"Lily Sullivan,Alyssa Sutherland,Morgan Davies",9,97,235926,"Fantastique,Epouvante-horreur",U.S.A.,Lee Cronin,Metropolitan FilmExport,Evil Dead Rise
"Reda Kateb,Benoît Magimel,Meriem Amiar",5,92,140144,Drame,France,Elias Belkeddar,StudioCanal,Omar la fraise
"Christian Bale,Margot Robbie,John David Washington",13,134,24277,"Policier,Drame,Thriller",U.S.A.,David O. Russell,The Walt Disney Company France,Amsterdam
"Simu Liu,Tony Leung Chiu-Wai, Awkwafina",24,132,481173,"Action,Fantastique",U.S.A.,Destin Daniel Cretton,The Walt Disney Company France,Shang-Chi et la Légende des Dix Anneaux
"Anaïs Demoustier,Vincent Lacoste,Paul Beaurepaire",11,125,118783,"Drame,Romance",France,Katell Quillévéré,Gaumont Distribution,Le Temps D’Aimer
"Harrison Ford,Omar Sy,Dan Stevens",7,100,522494,"Aventure,Drame,Famille",U.S.A.,Chris Sanders,The Walt Disney Company France,L'Appel de la forêt
"Olivier Marchal,Olivia Bonamy,Mathieu Madenian",7,97,91813,Comédie,France,Philippe Guillard,Apollo Films,Pour l’honneur
"Benoît Magimel,Pahoa Mahagafanau,Marc Susini",6,165,19015,"Drame,Espionnage",France,Albert Serra,Les Films du Losange,Pacifiction - Tourment sur les îles
"Allison Williams,Violet McGraw,Ronny Chieng",11,102,218120,"Epouvante-horreur,Thriller",U.S.A.,Gerard Johnstone,Universal Pictures International France,M3GAN
"Malik Bentalha,Joséphine Japy,Jérôme Commandeur",9,102,257163,"Aventure,Comédie",France,"Malik Bentalha,Ludovic Colbeau-Justin",Pathé,Jack Mimoun et les secrets de Val Verde
"Maxime Van Santfoort,Kai Wang",2,128,8261,"Action,Aventure,Animation",Chine,Ji Zhao,KMBO,La Guerre des Dieux - New Gods: Yang Jian
"Laetitia Casta,Damien Bonnard,Béatrice Dalle",5,97,12916,Drame,France,Brigitte Sy,Paradis Films,Le Bonheur Est Pour Demain
"Mallory Wanecque,Timéo Mahaut,Johan Heldenbergh",8,99,18915,Comédie dramatique,France,"Lise Akoka,Romane Gueret",Pyramide Distribution,Les Pires
"Luca Marinelli,Alessandro Borghi,Filippo Timi",8,147,29347,Drame,Italie,"Charlotte Vandermeersch,Felix Van Groeningen",Pyramide Distribution,Les Huit Montagnes
"Ryan Reynolds,Jodie Comer,Lil Rel Howery",14,115,174093,"Action,Aventure,Comédie",U.S.A.,Shawn Levy,The Walt Disney Company France,Free Guy
"Mark Stanley,Camilo Arancibia,Benjamin Westfall",5,100,25953,Drame,Chili,Felipe Gálvez Haberle,Dulac Distribution,Les Colons
"Patrick Dempsey,Addison Rae,Milo Manheim",7,107,75871,Epouvante-horreur,U.S.A.,Eli Roth,Sony Pictures Releasing France,Thanksgiving : la semaine de l'horreur
"Kawaida Natsumi,Takeo Otsuka,Nobuo Tobita",3,70,16851,"Aventure,Animation,Famille",Japon,Yoshimi Itazu,Art House,Le Grand magasin
"Gael García Bernal,Vicky Krieps,Rufus Sewell",12,108,105841,"Fantastique,Thriller",U.S.A.,M. Night Shyamalan,Universal Pictures International France,Old
"Adila Bendimerad,Dali Benssalah,Mohamed Tahar Zaoui",3,110,21049,"Drame,Historique",Algérie,"Damien Ounouri,Adila Bendimerad",Jour2fête,La Dernière reine
"Vin Diesel,Michelle Rodriguez,Jordana Brewster",21,143,1301589,Action,U.S.A.,Justin Lin,Universal Pictures International France,Fast & Furious 9
"Ahmed Sylla,Camille Lou,Grégoire Bonnet",8,83,178545,Comédie,France,Frédéric Quiring,UGC Distribution,Notre tout petit petit mariage
"Nadia Tereszkiewicz,Sofiane Bennacer,Louis Garrel",15,126,104057,"Comédie,Comédie dramatique,Drame",France,Valeria Bruni Tedeschi,Ad Vitam,Les Amandiers
"Alice Isaaz,Niels Schneider,Rod Paradot",8,95,33659,"Policier,Drame,Historique",Belgique,Romain Quirot,Tandem,Apaches
"Frances McDormand,David Strathairn,Gay DeForest",10,108,125027,Drame,U.S.A.,Chloé Zhao,The Walt Disney Company France,Nomadland
"Héloïse Janjaud,Khadija Kouyaté,Myriem Akheddiou",1,98,1038,Drame,France,Léa Fehner,Geko Films,Sages-femmes
"Laure Calamy,Tchéky Karyo,David Marsais",8,95,71102,Comédie,France,Jonathan Barré,Pan Distribution,Bonne conduite
"Timothée Chalamet,Taylor Russell,Mark Rylance",14,130,38761,"Drame,Epouvante-horreur,Romance",Italie,Luca Guadagnino,Warner Bros. France,Bones and All
"Shugo Nakamura,Subaru Kimura,Kenta Miyake",5,124,33488,"Animation,Comédie,Drame",Japon,Takehiko Inoue,Wild Bunch Distribution,The First Slam Dunk
"Louise Mauroy-Panzani,Ilça Moreno Zego,Arnaud Rebotini",8,84,27968,Drame,Belgique,Marie Amachoukeli,Pyramide Distribution,àma Gloria
"Alban Ivanov,Lucien Jean-Baptiste,Audrey Pirault",8,105,189578,Comédie,France,Varante Soudjian,Metropolitan FilmExport,La Traversée
"Grégoire Ludig,David Marsais,Adèle Exarchopoulos",6,77,50543,"Comédie,Fantastique",France,Quentin Dupieux,Memento Distribution,Mandibules
"Eric Judor,Jean-Pascal Zadi,Ana Girardot",4,90,62664,"Aventure,Animation,Comédie",Belgique,Jérémie Degruson,KMBO,Les Inséparables
"Paul Kircher,Vincent Lacoste,Juliette Binoche",5,123,40106,Drame,France,Christophe Honoré,Memento Distribution,Le Lycéen
"Valeria Bruni Tedeschi,Marina Foïs,Pio Marmaï",11,99,114592,"Comédie,Comédie dramatique,Drame",France,Catherine Corsini,Le Pacte,La Fracture
"Laure Calamy,Anne Suarez,Geneviève Mnich",8,85,100254,Drame,France,Eric Gravel,Haut et Court,À plein temps
"Tang Wei,Park Hae-il,Jung-hyun Lee",8,138,103303,"Policier,Drame,Romance",Corée du Sud,Park Chan-Wook,Bac Films,Decision To Leave
"Marc Zinga,Yves-Marina Gnahoua,Marcel Otete Kabeya",5,95,6565,Drame,Allemagne, Baloji,Pan Distribution,Augure
"Oulaya Amamra,Lina El Arabi,Niels Arestrup",8,115,80541,"Biopic,Drame",France,Marie-Castille Mention-Schaar,Le Pacte,Divertimento
"Eden Dambrine,Gustav De Waele,Emilie Dequenne",9,104,19030,Drame,Belgique,Lukas Dhont,Diaphana Distribution,Close
"Nataliya Denisenko,Artem Pivovarov,Elena Kravets",0,99,163496,"Aventure,Animation,Famille",Ukraine,"Oleh Malamuzh,Oleksandra Ruban",KMBO,Le Royaume de Naya
"Paul Dano,Pete Davidson,Vincent D'Onofrio",8,105,24125,"Comédie,Drame",U.S.A.,Craig Gillespie,Metropolitan FilmExport,Dumb Money
,0,52,6517,"Animation,Famille",France,,Cinéma Public Films,La Colline aux cailloux
"Line Renaud,Dany Boon,Alice Isaaz",8,91,180034,"Comédie,Comédie dramatique,Drame",France,Christian Carion,Pathé,Une belle course
"Michèle Laroque,Thierry Lhermitte,Constance Labbé",4,92,155491,Comédie,France,Fabrice Bracq,SND,Joyeuse retraite 2
"Clovis Cornillac,Claudia Tagbo,Malonn Lévana",6,102,61469,Comédie dramatique,France,Stéphane Cazes,UGC Distribution / TF1 Studio,Les Têtes givrées
"Adam Driver,Marion Cotillard,Simon Helberg",15,140,66761,"Drame,Comédie musicale,Romance",France,Leos Carax,UGC Distribution,Annette
"Tom Holland,Mark Wahlberg,Sophia Ali",14,116,955650,"Action,Aventure",U.S.A.,Ruben Fleischer,Sony Pictures Releasing France,Uncharted
"Russell Crowe,Daniel Zovatto,Alex Essoe",13,103,155555,"Biopic,Fantastique,Epouvante-horreur",U.S.A.,Julius Avery,Sony Pictures Releasing France,L'Exorciste du Vatican
"Maya Vanderbeque,Günter Duret,Karim Leklou",7,75,15718,Drame,Belgique,Laura Wandel,Tandem,Un monde
"Patrick Wilson,Rose Byrne,Ty Simpkins",7,108,306107,"Fantastique,Epouvante-horreur",U.S.A.,Patrick Wilson,Sony Pictures Releasing France,Insidious: The Red Door
"Grégory Gadebois,Isabelle Carré,Benjamin Lavernhe",10,113,130477,"Comédie,Historique",France,Eric Besnard,SND,Délicieux
"Camille Rowe,James Jagger,Eric Savin",10,85,150204,"Epouvante-horreur,Thriller",France,"Alexandre Bustillo,Julien Maury",Apollo Films,The Deep House
"Aurélien Gabrielli,Louise Chevillotte,Saadia Bentaïeb",6,85,11831,"Drame,Romance",France,Louda Ben Salah-Cazanas,Tandem,Le Monde après nous
"Carey Mulligan,Bo Burnham,Alison Brie",9,108,45320,"Comédie,Drame,Thriller",U.S.A.,Emerald Fennell,Universal Pictures International France,Promising Young Woman
"Suliane Brahim,Sofian Khammes,Marie Narbonne",10,101,23596,"Drame,Epouvante-horreur",France,Just Philippot,The Jokers / Capricci,La Nuée
"Oumy Bruni Garrel, Maïwenn,Aïssa Maïga",7,98,41397,"Comédie,Comédie dramatique,Drame",France,Ramzi Ben Sliman,Gaumont Distribution,Neneh Superstar
"Nina Hoss,Lars Eidinger,Marthe Keller",7,99,5741,Drame,Suisse,"Véronique Reymond,Stéphanie Chuat",Arizona Distribution,Petite soeur
"Hugo Becker,Damien Jouillerot,Francis Renaud",7,100,23152,"Action,Historique,Guerre",France,"Vincent Mottez,Paul Mignot",Saje Distribution,Vaincre ou mourir
"Zac Efron,Ryan Kiera Armstrong,Sydney Lemmon",9,94,75109,"Fantastique,Epouvante-horreur,Thriller",U.S.A.,Keith Thomas (II),Universal Pictures International France,Firestarter
"Guillaume Darnault,Julie Gallibert,Andy Pimor",5,100,2584,Comédie,France,"Hugo Bachelet,Clément Vallos,Matthieu Yakovleff",Destiny Films,Poisson rouge
"Lucie Debay,Lazare Gousseau,Florence Loiret Caille",4,89,9833,"Comédie,Drame,Romance",Belgique,"Ann Sirot,Raphaël Balboni",KMBO,Le Syndrome des amours passées
"Roschdy Zem,Doria Tillier,Guillaume Gallienne",11,100,52681,"Drame,Historique",France,Vincent Perez,Gaumont Distribution,Une affaire d'honneur
"Sandrine Kiberlain,Vincent Macaigne,Georgia Scalliet",8,101,119790,"Comédie,Comédie dramatique,Drame",France,Emmanuel Mouret,Pyramide Distribution,Chronique d'une liaison passagère
" Mackenyu,Famke Janssen,Sean Bean",13,112,41841,"Action,Aventure,Fantastique",Japon,Tomasz Baginski,Sony Pictures Releasing France,Les Chevaliers du Zodiaque
"Keanu Reeves,Carrie-Anne Moss,Yahya Abdul-Mateen II",21,148,513133,"Action,Science Fiction",U.S.A.,Lana Wachowski,Warner Bros. France,Matrix Resurrections
"Margot Robbie,Idris Elba,John Cena",22,132,256516,"Action,Aventure,Fantastique",U.S.A.,James Gunn,Warner Bros. France,The Suicide Squad
"Gilles Lellouche,Joanna Kulig,Louis-Do de Lencquesaing",9,127,205447,"Drame,Thriller",France,Jérôme Salle,SND,Kompromat
"Vicky Krieps,Florian Teichtmeister,Katharina Lorenz",5,113,35145,"Biopic,Drame,Historique",Autriche,Marie Kreutzer,Ad Vitam,Corsage
"Yasin Houicha,Oulaya Amamra,Raphaël Quenard",8,101,14212,"Comédie,Romance",France,Emma Benestan,Haut et Court,Fragile
"Anaïs Demoustier,Tom Mercier,Béatrice Dalle",6,100,9056,Drame,France,Patric Chiha,Les Films du Losange,La Bête Dans La Jungle
"Alexander Skarsgård,Nicole Kidman,Claes Bang",19,137,137676,"Action,Historique",U.S.A.,Robert Eggers,Universal Pictures International France,The Northman
"Tarek Boudali, Artus,Pauline Clément",9,93,242165,Comédie,France,Olivier Baroux,Gaumont Distribution,Menteur
"Dwayne Johnson,Aldis Hodge,Pierce Brosnan",12,125,713308,"Action,Aventure,Fantastique",U.S.A.,Jaume Collet-Serra,Warner Bros. France,Black Adam
"Juliette Delacroix,Marica Soyer,Alexis Michalik",6,90,36528,Drame,France,Alexis Michalik,Le Pacte,Une histoire d’amour
"Kaycie Chase,Christophe Lemoine,Emmanuel Curtil",3,96,210409,"Aventure,Animation,Famille",France,"David Alaux,Eric Tosti,Jean-François Tosti",Apollo Films,Pattie et la colère de Poséidon
"Michael Fassbender,Oscar Kightley, Kaimana",11,103,17490,"Comédie,Comédie dramatique,Drame",U.S.A.,Taika Waititi,The Walt Disney Company France,Une équipe de rêve
"Zachary Levi,Asher Angel,Jack Dylan Grazer",7,130,262525,"Action,Aventure,Comédie",U.S.A.,David F. Sandberg,Warner Bros. France,Shazam! La Rage des Dieux
"Viggo Mortensen,Léa Seydoux,Kristen Stewart",10,108,52886,"Drame,Epouvante-horreur,Science Fiction",Canada,David Cronenberg,Metropolitan FilmExport,Les Crimes du Futur
"Tom Hanks,Mariana Treviño,Rachel Keller",7,127,67470,"Comédie,Comédie dramatique,Drame",U.S.A.,Marc Forster,Sony Pictures Releasing France,Le Pire voisin au monde
"Laure Calamy,Benjamin Lavernhe,Olivia Côte",9,97,173550,"Comédie,Romance",France,Caroline Vignal,Diaphana Distribution,Antoinette dans les Cévennes
"Maia Baran,Sally Hawkins,Marie Braam",1,38,13562,"Animation,Famille",Grande-Bretagne,"Samantha Cutler,Daniel Snaddon,Vasilisa Tikunova",Les Films du Préau,Les Tourouges et les Toubleus
"Toshio Furukawa,Natsuki Hanae,Kana Hanazawa",0,110,109154,"Action,Aventure,Animation",Japon,Haruo Sotozaki,CGR EVENTS,Demon Slayer : Kimetsu no Yaiba - En route pour le village des forgerons
"Lady Gaga,Adam Driver,Al Pacino",17,157,293474,"Biopic,Drame",U.S.A.,Ridley Scott,Universal Pictures International France,House of Gucci
"Moshe Lobel,Saul Rubinek,Antoine Millet",0,114,1987,Historique,Ukraine,Ady Walter,Urban Distribution,SHTTL
"Angèle Mac, Hatik,Lina-Camélia Lumbroso",6,90,20558,"Drame,Fantastique,Epouvante-horreur",France,Guillaume Nicloux,Wild Bunch Distribution,La Tour
"Kayije Kagame,Guslagie Malanda,Valérie Dréville",9,123,39560,"Drame,Judiciaire",France,Alice Diop,Les Films du Losange,Saint Omer
"Aïssatou Diallo Sagna,Suzy Bemba,Esther Gohourou",6,107,22450,Drame,France,Catherine Corsini,Le Pacte,Le Retour
"Guillaume De Tonquédec,Victor Belmondo,Guilaine Londez",6,99,48547,Drame,France,Olivier Peyon,KMBO,Arrête avec tes mensonges
"Gérard Depardieu,Fanny Ardant,Benoît Poelvoorde",13,97,150419,Drame,France,Jean Becker,ARP Sélection,Les Volets verts
"Valérie Bonneton,Camille Chamoux,Claire Nadeau",7,88,61457,Comédie,France,Laurent Tirard,Le Pacte,Juste ciel !
"Nadia Tereszkiewicz,Quim Gutiérrez,Charlie Vauselle",6,117,55090,Drame,France,Robin Campillo,Memento Distribution,L'Île rouge
"Gerard Butler,Mike Colter,Yoson An",9,108,160006,"Action,Thriller",U.S.A.,Jean-François Richet,Metropolitan FilmExport,Mayday
"Will Smith,Aunjanue Ellis,Saniyya Sidney",14,145,90468,"Biopic,Drame",U.S.A.,Reinaldo Marcus Green,Warner Bros. France,La Méthode Williams
"Eddie Redmayne,Jude Law,Mads Mikkelsen",13,142,1132062,"Aventure,Fantastique",U.S.A.,David Yates,Warner Bros. France,Les Animaux Fantastiques : les Secrets de Dumbledore
"Ramzy Bedia,Noémie Lvovsky,Abbes Zahmani",7,97,72216,Comédie,France,Baya Kasmi,Tandem,Youssef Salem a du succès
"Gad Elmaleh,Steve Carell,Gérard Darmon",12,88,1360765,"Action,Animation,Comédie",U.S.A.,"Kyle Balda,Brad Ableson,Jonathan Del Val",Universal Pictures International France,Les Minions 2 : Il était une fois Gru
"Hugh Bonneville,Michelle Dockery,Elizabeth McGovern",11,126,181353,"Drame,Historique",Grande-Bretagne,Simon Curtis,Universal Pictures International France,Downton Abbey II : Une nouvelle ère
"Jean-Paul Rouve,Isabelle Nanty,Michel Blanc",12,101,852098,Comédie,France,Olivier Baroux,Pathé,Les Tuche 4
"Maël Rouin Berrandou,Judith Chemla,Dali Benssalah",10,108,45784,Drame,France,Yohan Manca,Ad Vitam,Mes frères et moi
"Ayoub Elaid,Abdellatif Masstouri,Mohamed Hmimsa",7,94,15089,Thriller,France,Kamal Lazraq,Ad Vitam,Les Meutes
"Adila Bendimerad,Abdallah Charki,Lyes Salem",6,91,5970,Comédie,France,Malik Chibane,Alba Films,Ma part de Gaulois
"Marina Foïs,Benjamin Voisin,Jean-Charles Clichet",5,89,36624,Comédie,France,Didier Barcelo,Memento Distribution,En roue libre
"Harris Dickinson,Lola Campbell,Alin Uzun",7,84,10433,"Comédie,Drame",Grande-Bretagne,Charlotte Regan,Star Invest Films France,Scrapper
"Yûya Endô,Kanji Tsuda,Yuya Matsuura",8,167,14592,"Drame,Historique,Guerre",France,Arthur Harari,Le Pacte,Onoda - 10 000 nuits dans la jungle
"Denis Ménochet,Zar Amir Ebrahimi,Victoire Du Bois",7,94,38064,Thriller,France,Guillaume Renusson,Ad Vitam,Les Survivants
"Sofia Kappel,Revika Reustle,Evelyn Claire",13,109,11214,Drame,Suède,Ninja Thyberg,The Jokers / Les Bookmakers,Pleasure
"Virginie Efira,Charlotte Rampling,Daphne Patakia",13,131,106776,"Drame,Historique,Romance",France,Paul Verhoeven,Pathé,Benedetta
"Anta Diaw,Alexis Manenti,Aristote Luyindula",9,100,88788,Drame,France,Ladj Ly,Le Pacte,Bâtiment 5
"Michael B. Jordan,Tessa Thompson,Jonathan Majors",13,117,1105921,Drame,U.S.A.,Michael B. Jordan,Warner Bros. France,Creed III
"Megan Suri,Neeru Bajwa,Mohana Krishnan",1,99,43573,Epouvante-horreur,U.S.A.,Bishal Dutta,KMBO,Inside
"Paul Rudd,Evangeline Lilly,Michael Douglas",11,121,735356,"Action,Aventure,Science Fiction",U.S.A.,Peyton Reed,The Walt Disney Company France,Ant-Man et la Guêpe : Quantumania
"Philipp Hochmair,Johannes Allmayer,Maximilian Brückner",4,108,33680,"Drame,Historique",Allemagne,Matti Geschonneck,Condor Distribution,La Conférence
"Camille Chamoux,Damien Bonnard,Ariane Ascaride",4,92,34918,"Comédie dramatique,Romance",France,Ilan Klipper,Le Pacte,Le Processus de paix
"Romain Duris,Emma Mackey,Pierre Deladonchamps",12,109,408803,"Biopic,Comédie,Drame",France,Martin Bourboulon,Pathé,Eiffel
"Omar Sy,Alassane Diong,Jonas Bloquet",9,101,456751,"Drame,Historique,Guerre",France,Mathieu Vadepied,Gaumont Distribution,Tirailleurs
"Clint Eastwood,Dwight Yoakam,Daniel V. Graulau",10,104,126797,"Drame,Western",U.S.A.,Clint Eastwood,Warner Bros. France,Cry Macho
"Patrick Wilson,Vera Farmiga,Ruairi O'Connor",12,112,665476,Epouvante-horreur,U.S.A.,Michael Chaves,Warner Bros. France,Conjuring 3 : sous l'emprise du diable
"Lévanah Solomon,Honor Kneafsey,Lana Ropion",4,103,42627,"Aventure,Animation,Famille",Irlande,"Tomm Moore,Ross Stewart",Haut et Court,Le Peuple Loup
"Léa Seydoux,Benjamin Biolay,Juliane Köhler",9,130,75033,"Comédie,Drame",France,Bruno Dumont,ARP Sélection,France
"Ka Tung Lam,Yase Liu,Mason Lee",7,118,23509,"Policier,Drame,Thriller",Hong-Kong,Soi Cheang,Kinovista,Limbo
"Rakel Lenora Fløttum,Alva Brynsmo Ramstad,Mina Yasmin Bremseth Asheim",7,117,11449,"Drame,Fantastique,Thriller",Norvège,Eskil Vogt,Kinovista / Les Bookmakers,The Innocents
"Emily Blunt,John Krasinski,Cillian Murphy",11,97,228844,"Fantastique,Epouvante-horreur,Thriller",U.S.A.,John Krasinski,Paramount Pictures France,Sans un bruit 2
"Daniel Auteuil,Gilles Lellouche,Sara Giraudeau",8,116,261930,"Drame,Historique",France,Fred Cavayé,Pathé,Adieu Monsieur Haffmann
"Karim Leklou,Shaïn Boumedine,Lubna Azabal",9,113,30866,Drame,France,Rachid Hami,Memento Distribution,Pour la France
"Alban Ivanov,Sabrina Ouazani,Michèle Bernier",11,109,64286,"Comédie,Drame",France,Jean-Pierre Améris,Apollo Films,Les Folies fermières
"Jake Gyllenhaal,Yahya Abdul-Mateen II,Eiza Gonzalez",13,136,142412,"Action,Thriller",U.S.A.,Michael Bay,Universal Pictures International France,Ambulance
"Pierrette Aboheu Njeuthat,Nancy Karelle Kenmogne Fondjo,Cécile Tchana",1,93,462,Drame,Cameroun,Rosine Mfetgo Mbakam,Singularis Films,Mambar Pierrette
"Alice Isaaz,Adam Bessa,Ilan Debrabant",4,100,5410,"Drame,Thriller",France,Thierry Binisti,Diaphana Distribution,Le Prix du passage
"Tawfeek Barhom,Fares Fares,Mohammad Bakri",9,121,153906,Thriller,Suède,Tarik Saleh,Memento Distribution,La Conspiration du Caire
"Juliette Binoche,Vincent Lindon,Grégoire Colin",7,116,73581,"Drame,Romance",France,Claire Denis,Ad Vitam,Avec amour et acharnement
"Marina Foïs,Kad Merad,Jean-Pascal Zadi",12,87,79534,"Action,Comédie,Epouvante-horreur",France,"Ludovic Boukherma,Zoran Boukherma",The Jokers / Les Bookmakers,L'Année du requin
"Fabrice Luchini,Catherine Frot,Philippe Katerine",8,89,233008,Comédie,France,Tristan Séguéla,Gaumont Distribution,Un homme heureux
"Gabriele Silli,Maria Alexandra Lungu,Severino Sperandio",10,99,4325,"Aventure,Drame,Historique",Italie,"Alessio Rigo de Righi,Matteo Zoppis",Shellac,La Légende du roi crabe
"Molly Kunz,Graham Greene (II),Charlie Carrick",9,100,199085,"Aventure,Famille",France,Gilles de Maistre,StudioCanal,Le Loup et le lion
"Youssouf Abi-Ayad,Kenza Fortas,Saadia Bentaïeb",7,90,15054,Drame,France,Nadir Moknèche,Pyramide Distribution,L'Air de la mer rend libre
"Laure Calamy,Olivia Côte,Kristin Scott Thomas",8,111,170382,Comédie,France,Marc Fitoussi,Memento Distribution,Les Cyclades
"Antoine Bertrand,Esteban Azuara Eymard,Gérard Darmon",5,95,13176,Comédie,France,Julien Rigoulot,Wild Bunch Distribution,Petit Jésus
"Scarlett Johansson,Florence Pugh,Rachel Weisz",18,134,440689,"Action,Aventure,Espionnage",U.S.A.,Cate Shortland,The Walt Disney Company France,Black Widow
"Paul Mescal,Melissa Barrera,Rossy de Palma",10,116,24397,"Drame,Romance",Australie,Benjamin Millepied,Pathé,Carmen
"Agnès Jaoui,Jonathan Zaccaï,Géraldine Nakache",5,90,38549,Comédie dramatique,France,Frédéric Sojcher,Jour2fête,Le Cours de la vie
"Amandine Noworyta,Iris Jodorowsky,Jean-François Stévenin",3,97,23,"Comédie,Comédie dramatique,Drame",France,Jude Bauman,KapFilms,Entre nous
"Nurbek Mukushev,Azamat Nigmanov,Aleksandra Revenko",5,90,1204,"Drame,Thriller",kazakhstan,Adilkhan Yerzhanov,Destiny Films,Assaut
"François Civil,Chris Evans,Lyna Khoudri",14,105,482715,"Aventure,Animation,Comédie",U.S.A.,Angus MacLane,The Walt Disney Company France,Buzz l'éclair
"Kevin Ardilova,Arswendy Bening Swara,Yusyf Mahardika",1,115,814,Drame,Indonésie,Makbul Mubarak,Destiny Films,Le Pion du Général
"Lizzy Caplan,Antony Starr,Cleopatra Coleman",0,89,96861,Epouvante-horreur,U.S.A.,Samuel Bodin,Metropolitan FilmExport,La Maison du mal
"Marie Braam,Kaori Nazuka,Stephane Excoffier",3,115,575182,"Aventure,Animation,Comédie",Japon,Goro Taniguchi,Pathé,One Piece Film - Red
"Rémy Girard,Sophie Lorain, Marie-Mai",6,115,15017,Comédie,Canada,Denys Arcand,Jour2fête,Testament
"Ger Duany,Siran Riak,Nazar Goma",6,120,11314,Drame,Soudan,Mohamed Kordofani,ARP Sélection,Goodbye Julia
"Hidetoshi Nishijima,Toko Miura,Masaki Okada",5,177,48971,"Drame,Romance",Japon,Ryūsuke Hamaguchi,Diaphana Distribution,Drive My Car
"Yuriy Borisov,Timofey Tribuntsev,Nikita Kukushkin",5,125,12018,"Drame,Historique",Russie,"Natalya Merkulova,Aleksey Chupov",Kinovista,Le Capitaine Volkonogov s'est échappé
"Jamel Debbouze,Daniel Auteuil,Simon Faliu",9,112,271139,Comédie,France,James Huth,Sony Pictures Releasing France,Le Nouveau Jouet
,2,73,3339,"Animation,Famille",Chine,Anna Blaszczyk,Eurozoom,La Course au miel
"Claudia Tagbo, Zaho,Sophie-Marie Larrouy",6,97,78717,Comédie,France,"Leïla Sy,Amadou Mariko",Gaumont Distribution,Yo Mama
"Matt Damon,Camille Cottin,Abigail Breslin",12,140,135483,"Drame,Thriller",U.S.A.,Tom McCarthy,Universal Pictures International France,Stillwater
"Florent Dorin,Arnaud Ducret,Enya Baroux",9,102,147188,"Action,Aventure,Comédie",France,François Descraques,KMBO,Le Visiteur du futur
"Emily Blunt,Dwayne Johnson,Jesse Plemons",10,128,284661,Aventure,U.S.A.,Jaume Collet-Serra,The Walt Disney Company France,Jungle Cruise
"Jean Dujardin,Grégory Gadebois,Doria Tillier",8,100,249345,Comédie,France,Anne Fontaine,Universal Pictures International France,Présidents
"Ahmed Sylla,Bertrand Usclat,Pauline Clément",8,98,210444,Comédie,France,"Olivier Ducray,Wilfried Meance",SND,Jumeaux mais pas trop
"Grégory Montel,Grégory Gadebois,Anaïs Demoustier",9,90,24517,Comédie dramatique,France,Jérôme Bonnell,Diaphana Distribution,Chère Léa
"Soufiane Chilah,Gianni Guettaf,Vincent Overath",5,92,1351,"Policier,Drame",Belgique,Nabil Ben Yadir,JHR Films,Animals
"Roschdy Zem,Pio Marmaï,Vincent Lindon",13,123,101542,"Biopic,Drame,Thriller",France,Thierry de Peretti,Pyramide Distribution,Enquête sur un scandale d'état
"Lambert Wilson,Marina Hands,Laurent Poitrenaux",6,94,16107,Comédie,France,Emilie Deleuze,Paname Distribution,5 hectares
"Marion Cotillard,Golshifteh Farahani,Melvil Poupaud",7,108,73784,Drame,France,Arnaud Desplechin,Le Pacte,Frère et soeur
"Renate Reinsve,Anders Danielsen Lie,Herbert Nordrum",8,128,67515,"Comédie,Drame",Norvège,Joachim Trier,Memento Distribution,Julie (en 12 chapitres)
"Lauren LaVera,David Howard Thornton,Jenna Kanell",4,138,34089,Epouvante-horreur,U.S.A.,Damien Leone,ESC Films,Terrifier 2
"Léa Seydoux,Pascal Greggory,Melvil Poupaud",6,114,35039,"Drame,Romance",France,Mia Hansen-Løve,Les Films du Losange,Un beau matin
"Lou de Laâge,Riccardo Scamarcio,Pierre-Henry Salfati",5,99,12629,Drame,France,Stéphane Freiss,JHR Films,Tu choisiras la vie
"Jenny Slate,Dean Fleischer-Camp,Isabella Rossellini",5,90,7514,"Animation,Comédie,Famille",U.S.A.,Dean Fleischer-Camp,L'Atelier Distribution,Marcel le Coquillage (avec ses chaussures)
"Moussa Mansaly,Aïssa Maïga,Ophélie Bau",8,106,10913,Drame,France,Steve Achiepo,The Jokers / Les Bookmakers,Le Marchand de sable
"Joseph Engel,Sara Montpetit,Monia Chokri",8,100,12118,"Comédie,Comédie dramatique,Drame",France,Charlotte Le Bon,Tandem,Falcon Lake
"Penélope Cruz,Luis Tosar,Christian Checa",7,103,28720,Thriller,Espagne,Juan Diego Botto,Condor Distribution,À contretemps
"Alice Pol,Jonathan Zaccaï,Eddy Mitchell",6,92,61510,Comédie,France,Sophie Boudre,UGC Distribution / Orange Studio,Un petit Miracle
