acteurs,budget,compositeur,date,entrees_premiere_semaine,franchise,genre,pays,producteur,realisateur,remake,salles_premiere_semaine,studio,titre,url
"
                            Jason Bateman,
                            Simon Pegg,
                            Sigourney Weaver,
                            Kristen Wiig,
                            Seth Rogen",40 000 000 $,,  02/03/2011,301 620,,Comédie,Grande-Bretagne,,,,,"
                Universal","
                            Paul",https://www.jpbox-office.com/fichfilm.php?id=11107&view=2
,,Brian Tyler,  27/02/2019,300 315,,Thriller,Etats-Unis,,,,,"
                Sony Pictures","
                            Escape Game",https://www.jpbox-office.com/fichfilm.php?id=18867&view=2
,9 000 000 $,Brian Tyler,  27/02/2019,300 315,,Thriller,Etats-Unis,,,,,"
                Sony Pictures","
                            Escape Game",https://www.jpbox-office.com/fichfilm.php?id=18867&view=2
,15 000 000 $,,  14/02/1996,300 657,,Comédie,Etats-Unis,,"
                                    Woody Allen",,,"
                GBVI","
                            Maudite Aphrodite",https://www.jpbox-office.com/fichfilm.php?id=4003&view=2
"
                            Mira Sorvino,
                            Helena Bonham Carter",15 000 000 $,,  14/02/1996,300 657,,Comédie,Etats-Unis,,"
                                    Woody Allen",,,"
                GBVI","
                            Maudite Aphrodite",https://www.jpbox-office.com/fichfilm.php?id=4003&view=2
,32 000 000 $,,  20/04/2011,300 899,,Science Fiction,Etats-Unis,,,,,"
                SND","
                            Source Code",https://www.jpbox-office.com/fichfilm.php?id=11652&view=2
,11 823 297 €,,  03/07/2019,300 924,,Comédie,France,,,,,"
                Gaumont","
                            Ibiza",https://www.jpbox-office.com/fichfilm.php?id=19200&view=2
"
                            Christian Clavier,
                            Mathilde Seigner",11 823 297 €,,  03/07/2019,300 924,,Comédie,France,,,,,"
                Gaumont","
                            Ibiza",https://www.jpbox-office.com/fichfilm.php?id=19200&view=2
"
                            Jake Gyllenhaal",32 000 000 $,,  20/04/2011,300 899,,Science Fiction,Etats-Unis,,,,,"
                SND","
                            Source Code",https://www.jpbox-office.com/fichfilm.php?id=11652&view=2
,7 056 404 €,,  16/01/2013,301 129,,Comédie,France,,,,,"
                Pathé","
                            Alceste à bicyclette",https://www.jpbox-office.com/fichfilm.php?id=13143&view=2
"
                            Fabrice Luchini,
                            Lambert Wilson,
                            Laure Calamy",7 056 404 €,,  16/01/2013,301 129,,Comédie,France,,,,,"
                Pathé","
                            Alceste à bicyclette",https://www.jpbox-office.com/fichfilm.php?id=13143&view=2
,10 000 000 €,,  26/10/2005,294 836,,Comédie,France,,"
                                    Bertrand Blier",,,"
                Pan-Européenne","
                            Combien tu m'aimes?",https://www.jpbox-office.com/fichfilm.php?id=781&view=2
"
                            Elie Semoun,
                            Gérard Jugnot",,,  13/07/2022,295 230,Franchise,Film familial,France,,,,,"
                UGC Distribution","
                            Ducobu Président !",https://www.jpbox-office.com/fichfilm.php?id=22119&view=2
"
                            Elie Semoun,
                            Gérard Jugnot",9 900 000 €,,  13/07/2022,295 230,Franchise,Film familial,France,,,,,"
                UGC Distribution","
                            Ducobu Président !",https://www.jpbox-office.com/fichfilm.php?id=22119&view=2
"
                            Bernard Campan,
                            Gérard Depardieu,
                            Monica Bellucci,
                            Edouard Baer,
                            Jean-Pierre Darroussin",10 000 000 €,,  26/10/2005,294 836,,Comédie,France,,"
                                    Bertrand Blier",,,"
                Pan-Européenne","
                            Combien tu m'aimes?",https://www.jpbox-office.com/fichfilm.php?id=781&view=2
,60 000 000 $,,  19/07/2006,294 524,Franchise,Film familial,Etats-Unis,,,,,"
                20th Century Fox","
                            Garfield 2",https://www.jpbox-office.com/fichfilm.php?id=355&view=2
,865 049 ,,  15/03/1995,289 923,,Drame,France,,"
                                    Régis Wargnier",,,"
                UFD","
                            Une femme française",https://www.jpbox-office.com/fichfilm.php?id=4010&view=2
,75 000 000 $,,  23/06/2010,289 852,,Comédie,Etats-Unis,,,,,"
                Metropolitan","
                            Kiss & Kill",https://www.jpbox-office.com/fichfilm.php?id=11246&view=2
,80 000 000 $,,  03/12/2003,289 712,,Aventure - Action,Etats-Unis,,,,,"
                Columbia","
                            S.W.A.T. Unité d'élite",https://www.jpbox-office.com/fichfilm.php?id=1476&view=2
,60 000 000 $,,  25/01/1995,289 358,,Comédie,Etats-Unis,,"
                                    Ivan Reitman",,,"
                UIP","
                            Junior",https://www.jpbox-office.com/fichfilm.php?id=4281&view=2
"
                            Yvan Attal,
                            Charlotte Gainsbourg",,,  30/10/2019,290 256,,Comédie,France,,"
                                    Yvan Attal",,,"
                Studiocanal","
                            Mon chien Stupide",https://www.jpbox-office.com/fichfilm.php?id=19637&view=2
"
                            Hugh Grant,
                            Liam Neeson,
                            Colin Firth,
                            Keira Knightley,
                            Alan Rickman,
                            Emma Thompson,
                            Rowan Atkinson,
                            Denise Richards",,,  03/12/2003,290 429,,Romance,Grande-Bretagne,,"
                                    Richard Curtis",,,"
                Mars Distribution","
                            Love Actually",https://www.jpbox-office.com/fichfilm.php?id=1449&view=2
"
                            Hugh Grant,
                            Liam Neeson,
                            Colin Firth,
                            Keira Knightley,
                            Alan Rickman,
                            Emma Thompson,
                            Rowan Atkinson,
                            Denise Richards",50 400 000 $,,  03/12/2003,290 429,,Romance,Grande-Bretagne,,"
                                    Richard Curtis",,,"
                Mars Distribution","
                            Love Actually",https://www.jpbox-office.com/fichfilm.php?id=1449&view=2
"
                            Yvan Attal,
                            Charlotte Gainsbourg",9 220 000 €,,  30/10/2019,290 256,,Comédie,France,,"
                                    Yvan Attal",,,"
                Studiocanal","
                            Mon chien Stupide",https://www.jpbox-office.com/fichfilm.php?id=19637&view=2
,22 000 000 $,,  07/07/1993,285 815,Franchise,Science Fiction,Etats-Unis,,,,,"
                Columbia","
                            Robocop 3",https://www.jpbox-office.com/fichfilm.php?id=4578&view=2
,35 000 000 $,,  25/01/2012,286 081,,Comédie dramatique,Etats-Unis,,"
                                    Alexander Payne",,,"
                20th Century Fox","
                            The Descendants",https://www.jpbox-office.com/fichfilm.php?id=12320&view=2
"
                            George Clooney",35 000 000 $,,  25/01/2012,286 081,,Comédie dramatique,Etats-Unis,,"
                                    Alexander Payne",,,"
                20th Century Fox","
                            The Descendants",https://www.jpbox-office.com/fichfilm.php?id=12320&view=2
,8 430 000 €,,  27/02/2019,280 808,,Comédie dramatique,France,,,,,"
                Mars Distribution","
                            Jusqu'ici tout va bien",https://www.jpbox-office.com/fichfilm.php?id=18836&view=2
,35 000 000 $,,  30/01/2002,281 170,,Thriller,Etats-Unis,,"
                                    Albert Hughes",,,"
                UFD","
                            From Hell",https://www.jpbox-office.com/fichfilm.php?id=2125&view=2
,50 000 000 $,,  18/02/1998,281 023,,Comédie,Etats-Unis,,"
                                    James L. Brooks",,,"
                Columbia","
                            Pour le pire et pour le meilleur",https://www.jpbox-office.com/fichfilm.php?id=3389&view=2
,30 690 000 €,,  10/07/2019,280 773,,Thriller,France,,"
                                    Luc Besson",,,"
                Pathé","
                            Anna (2019)",https://www.jpbox-office.com/fichfilm.php?id=19346&view=2
,75 000 000 $,,  16/01/2008,280 835,,Comédie dramatique,Etats-Unis,,"
                                    Mike Nichols",,,"
                Paramount","
                            La Guerre selon Charlie Wilson",https://www.jpbox-office.com/fichfilm.php?id=217&view=2
,48 000 000 $,,  09/10/2002,280 522,,Animation,Etats-Unis,,,,,"
                UIP","
                            Spirit, l'étalon des plaines",https://www.jpbox-office.com/fichfilm.php?id=1776&view=2
,70 000 000 $,,  09/08/2023,281 644,,Animation,Etats-Unis,,,,,"
                Paramount","
                            Ninja Turtles Teenage Years",https://www.jpbox-office.com/fichfilm.php?id=22582&view=2
"
                            Rose Byrne,
                            Jackie Chan,
                             Ice Cube,
                            Seth Rogen,
                            Paul Rudd",70 000 000 $,,  09/08/2023,281 644,,Animation,Etats-Unis,,,,,"
                Paramount","
                            Ninja Turtles Teenage Years",https://www.jpbox-office.com/fichfilm.php?id=22582&view=2
"
                            Leïla Bekhti,
                            Elodie Bouchez,
                            Adèle Exarchopoulos,
                            Jean-Pierre Darroussin,
                            Gilles Lellouche,
                             Miou-Miou,
                            Denis Podalydès",,,  29/03/2023,282 292,,Drame,France,Alain Attal,,,,"
                Studiocanal","
                            Je verrai toujours vos visages",https://www.jpbox-office.com/fichfilm.php?id=22735&view=2
,37 000 000 $,,  26/10/2011,282 054,,Drame,Etats-Unis,,"
                                    George Clooney",,,"
                Metropolitan","
                            Les Marches du Pouvoir",https://www.jpbox-office.com/fichfilm.php?id=12236&view=2
"
                            Ramzy Bedia,
                            Eric Judor,
                            Ewan McGregor",,,  30/03/2005,282 510,,Animation,Etats-Unis,,,,,"
                SND","
                            Vaillant pigeon de combat!",https://www.jpbox-office.com/fichfilm.php?id=739&view=2
"
                            George Clooney,
                            Ryan Gosling,
                            Paul Giamatti,
                            Philip Seymour Hoffman",37 000 000 $,Alexandre Desplat,  26/10/2011,282 054,,Drame,Etats-Unis,,"
                                    George Clooney",,,"
                Metropolitan","
                            Les Marches du Pouvoir",https://www.jpbox-office.com/fichfilm.php?id=12236&view=2
"
                            Ramzy Bedia,
                            Eric Judor,
                            Ewan McGregor",35 000 000 $,,  30/03/2005,282 510,,Animation,Etats-Unis,,,,,"
                SND","
                            Vaillant pigeon de combat!",https://www.jpbox-office.com/fichfilm.php?id=739&view=2
"
                            Leïla Bekhti,
                            Elodie Bouchez,
                            Adèle Exarchopoulos,
                            Jean-Pierre Darroussin,
                            Gilles Lellouche,
                             Miou-Miou,
                            Denis Podalydès",? €,,  29/03/2023,282 292,,Drame,France,Alain Attal,,,,"
                Studiocanal","
                            Je verrai toujours vos visages",https://www.jpbox-office.com/fichfilm.php?id=22735&view=2
,4 000 000 $,,  28/12/2005,282 270,Franchise,Horreur,Etats-Unis,,,,,"
                Metropolitan","
                            Saw 2",https://www.jpbox-office.com/fichfilm.php?id=769&view=2
"
                            Johnny Depp,
                            Heather Graham",35 000 000 $,,  30/01/2002,281 170,,Thriller,Etats-Unis,,"
                                    Albert Hughes",,,"
                UFD","
                            From Hell",https://www.jpbox-office.com/fichfilm.php?id=2125&view=2
"
                            Jack Nicholson,
                            Greg Kinnear,
                            Helen Hunt,
                            Cuba Gooding Jr.",50 000 000 $,Hans Zimmer,  18/02/1998,281 023,,Comédie,Etats-Unis,,"
                                    James L. Brooks",,,"
                Columbia","
                            Pour le pire et pour le meilleur",https://www.jpbox-office.com/fichfilm.php?id=3389&view=2
"
                            Luke Evans,
                            Helen Mirren,
                            Cillian Murphy",30 690 000 €,Eric Serra,  10/07/2019,280 773,,Thriller,France,Luc Besson,"
                                    Luc Besson",,,"
                Pathé","
                            Anna (2019)",https://www.jpbox-office.com/fichfilm.php?id=19346&view=2
"
                            Matt Damon",48 000 000 $,Hans Zimmer,  09/10/2002,280 522,,Animation,Etats-Unis,,,,,"
                UIP","
                            Spirit, l'étalon des plaines",https://www.jpbox-office.com/fichfilm.php?id=1776&view=2
"
                            Tom Hanks,
                            Philip Seymour Hoffman,
                            Julia Roberts,
                            Amy Adams,
                            Emily Blunt",75 000 000 $,James Newton Howard,  16/01/2008,280 835,,Comédie dramatique,Etats-Unis,,"
                                    Mike Nichols",,,"
                Paramount","
                            La Guerre selon Charlie Wilson",https://www.jpbox-office.com/fichfilm.php?id=217&view=2
"
                            Gilles Lellouche",8 430 000 €,,  27/02/2019,280 808,,Comédie dramatique,France,,,,,"
                Mars Distribution","
                            Jusqu'ici tout va bien",https://www.jpbox-office.com/fichfilm.php?id=18836&view=2
,41 300 000 $,,  10/05/2000,277 149,,Comédie,Etats-Unis,,,,,"
                UFD","
                            Mon voisin le tueur",https://www.jpbox-office.com/fichfilm.php?id=2423&view=2
"
                            Colin Firth,
                            Gary Oldman,
                            Benedict Cumberbatch,
                            Tom Hardy",,,  08/02/2012,277 172,,Thriller,Grande-Bretagne,,,,,"
                Steward","
                            La Taupe",https://www.jpbox-office.com/fichfilm.php?id=12329&view=2
,123 000 000 $,,  06/12/2000,277 456,,Comédie,Etats-Unis,,"
                                    Ron Howard",,,"
                UIP","
                            Le Grinch",https://www.jpbox-office.com/fichfilm.php?id=2438&view=2
"
                            Colin Firth,
                            Gary Oldman,
                            Benedict Cumberbatch,
                            Tom Hardy",17 490 238 €,,  08/02/2012,277 172,,Thriller,Grande-Bretagne,,,,,"
                Steward","
                            La Taupe",https://www.jpbox-office.com/fichfilm.php?id=12329&view=2
,32 000 000 $,,  02/11/2005,277 394,,Thriller,Etats-Unis,,"
                                    David Cronenberg",,,"
                Metropolitan","
                            A History of Violence",https://www.jpbox-office.com/fichfilm.php?id=757&view=2
,30 000 000 $,,  29/12/2010,277 687,,Comédie dramatique,Etats-Unis,,"
                                    Edward Zwick",,,"
                20th Century Fox","
                            Love & autres drogues",https://www.jpbox-office.com/fichfilm.php?id=11444&view=2
"
                            Ed Harris,
                            Viggo Mortensen",32 000 000 $,Howard Shore,  02/11/2005,277 394,,Thriller,Etats-Unis,,"
                                    David Cronenberg",,,"
                Metropolitan","
                            A History of Violence",https://www.jpbox-office.com/fichfilm.php?id=757&view=2
,14 000 000 $,,  18/01/2006,277 516,,Drame,Etats-Unis,,"
                                    Ang Lee",,,"
                Pathé","
                            Le Secret de Brokeback Mountain",https://www.jpbox-office.com/fichfilm.php?id=730&view=2
"
                            Jim Carrey,
                            Anthony Hopkins,
                            Bryce Dallas Howard",123 000 000 $,James Horner,  06/12/2000,277 456,,Comédie,Etats-Unis,Brian Grazer,"
                                    Ron Howard",,,"
                UIP","
                            Le Grinch",https://www.jpbox-office.com/fichfilm.php?id=2438&view=2
,? €,,  26/10/2016,273 309,,Drame,Grande-Bretagne,,"
                                    Ken Loach",,,"
                Le Pacte","
                            Moi, Daniel Blake",https://www.jpbox-office.com/fichfilm.php?id=15869&view=2
,? €,,  26/10/2016,273 309,,Drame,Grande-Bretagne,,"
                                    Ken Loach",,,"
                Le Pacte","
                            Moi, Daniel Blake",https://www.jpbox-office.com/fichfilm.php?id=15869&view=2
,68 000 000 $,,  24/07/2002,272 609,Franchise,Aventure - Action,Etats-Unis,,,,,"
                UIP","
                            La Somme de toutes les peurs",https://www.jpbox-office.com/fichfilm.php?id=1791&view=2
"
                            Ben Affleck,
                            Morgan Freeman,
                            Liev Schreiber",68 000 000 $,Jerry Goldsmith,  24/07/2002,272 609,Franchise,Aventure - Action,Etats-Unis,,,,,"
                UIP","
                            La Somme de toutes les peurs",https://www.jpbox-office.com/fichfilm.php?id=1791&view=2
,80 000 000 $,,  20/01/2010,272 763,,Aventure - Action,Etats-Unis,,"
                                    Albert Hughes",,,"
                Metropolitan","
                            Le Livre d'Eli",https://www.jpbox-office.com/fichfilm.php?id=11063&view=2
,22 000 000 $,,  02/03/1994,273 316,,Drame,Etats-Unis,,"
                                    Steven Spielberg",,,"
                UIP","
                            La Liste de Schindler",https://www.jpbox-office.com/fichfilm.php?id=4530&view=2
"
                            Vin Diesel",,,  08/06/2005,272 617,,Film familial,Etats-Unis,,,,,"
                Walt Disney Pictures","
                            Baby-sittor",https://www.jpbox-office.com/fichfilm.php?id=759&view=2
"
                            Vin Diesel",56 000 000 $,,  08/06/2005,272 617,,Film familial,Etats-Unis,,,,,"
                Walt Disney Pictures","
                            Baby-sittor",https://www.jpbox-office.com/fichfilm.php?id=759&view=2
"
                            Denzel Washington,
                            Mila Kunis,
                            Gary Oldman",80 000 000 $,,  20/01/2010,272 763,,Aventure - Action,Etats-Unis,Joel Silver,"
                                    Albert Hughes",,,"
                Metropolitan","
                            Le Livre d'Eli",https://www.jpbox-office.com/fichfilm.php?id=11063&view=2
"
                            Ralph Fiennes,
                            Liam Neeson",22 000 000 $,John Williams,  02/03/1994,273 316,,Drame,Etats-Unis,Steven Spielberg,"
                                    Steven Spielberg",,,"
                UIP","
                            La Liste de Schindler",https://www.jpbox-office.com/fichfilm.php?id=4530&view=2
"
                            Kate Beckinsale",,,  08/02/2012,270 145,Franchise,Fantasy,Etats-Unis,,,,,"
                SND","
                            Underworld : nouvelle ère",https://www.jpbox-office.com/fichfilm.php?id=11168&view=2
,15 000 000 $,,  17/11/1993,270 535,,Aventure - Action,Etats-Unis,,"
                                    John Woo",,,"
                UIP","
                            Chasse à l'homme",https://www.jpbox-office.com/fichfilm.php?id=4570&view=2
"
                            Kate Beckinsale",70 000 000 $,,  08/02/2012,270 145,Franchise,Fantasy,Etats-Unis,,,,,"
                SND","
                            Underworld : nouvelle ère",https://www.jpbox-office.com/fichfilm.php?id=11168&view=2
,35 000 000 $,,  10/09/2008,270 459,,Horreur,Etats-Unis,,"
                                    Alexandre Aja",,,"
                20th Century Fox","
                            Mirrors",https://www.jpbox-office.com/fichfilm.php?id=10237&view=2
,68 000 000 $,,  16/04/2003,270 171,,Horreur,Etats-Unis,,"
                                    Lawrence Kasdan",,,"
                Warner Bros.","
                            Dreamcatcher, l'attrape-rêves",https://www.jpbox-office.com/fichfilm.php?id=1483&view=2
"
                            Morgan Freeman",68 000 000 $,James Newton Howard,  16/04/2003,270 171,,Horreur,Etats-Unis,,"
                                    Lawrence Kasdan",,,"
                Warner Bros.","
                            Dreamcatcher, l'attrape-rêves",https://www.jpbox-office.com/fichfilm.php?id=1483&view=2
"
                            Kiefer Sutherland",35 000 000 $,,  10/09/2008,270 459,,Horreur,Etats-Unis,,"
                                    Alexandre Aja",,,"
                20th Century Fox","
                            Mirrors",https://www.jpbox-office.com/fichfilm.php?id=10237&view=2
"
                            Jean-Claude Van Damme",15 000 000 $,,  17/11/1993,270 535,,Aventure - Action,Etats-Unis,Sam Raimi,"
                                    John Woo",,,"
                UIP","
                            Chasse à l'homme",https://www.jpbox-office.com/fichfilm.php?id=4570&view=2
,49 000 000 $,,  04/03/2015,263 937,,Science Fiction,Etats-Unis,,"
                                    Neil Blomkamp",,,"
                Sony Pictures","
                            Chappie",https://www.jpbox-office.com/fichfilm.php?id=14748&view=2
,70 000 000 $,,  28/11/2001,264 342,,Aventure - Action,Etats-Unis,,,,,"
                Columbia","
                            The One",https://www.jpbox-office.com/fichfilm.php?id=2151&view=2
,50 000 000 $,,  18/04/2012,264 147,,Comédie dramatique,Etats-Unis,,"
                                    Cameron Crowe",,,"
                20th Century Fox","
                            Nouveau Départ (2012)",https://www.jpbox-office.com/fichfilm.php?id=12048&view=2
,21 000 000 $,,  28/11/2007,264 579,,Thriller,Etats-Unis,,"
                                    James Gray",,,"
                Wild Bunch","
                            La Nuit nous appartient",https://www.jpbox-office.com/fichfilm.php?id=199&view=2
,30 000 000 $,,  24/07/1996,264 415,,Aventure - Action,Etats-Unis,,,,,"
                Metropolitan","
                            Le Grand tournoi",https://www.jpbox-office.com/fichfilm.php?id=3705&view=2
,7 999 982 €,,  16/09/2015,264 495,,Drame,France,,,,,"
                Memento Films","
                            Marguerite",https://www.jpbox-office.com/fichfilm.php?id=15386&view=2
,21 121 564 €,,  24/10/2007,260 479,,Thriller,France,,"
                                    Alain Corneau",Remake,,"
                ARP Selection","
                            Le Deuxième souffle",https://www.jpbox-office.com/fichfilm.php?id=193&view=2
,20 920 000 €,,  23/10/2002,260 706,Franchise,Aventure - Action,France,,"
                                    Louis Leterrier",,,"
                EuropaCorp","
                            Le Transporteur",https://www.jpbox-office.com/fichfilm.php?id=1811&view=2
,15 000 000 $,,  29/10/1997,260 461,,Thriller,Etats-Unis,,"
                                    James Mangold",,,"
                GBVI","
                            Cop Land",https://www.jpbox-office.com/fichfilm.php?id=3425&view=2
,7 990 000 €,,  17/05/2013,260 761,,Drame,France,,,,,"
                Memento Films","
                            Le Passé",https://www.jpbox-office.com/fichfilm.php?id=13576&view=2
,16 000 000 $,,  15/05/2002,260 804,,Comédie,Etats-Unis,,"
                                    Woody Allen",,,"
                Bac Films","
                            Hollywood Ending",https://www.jpbox-office.com/fichfilm.php?id=1789&view=2
"
                            Louise Bourgoin,
                            Gilles Lellouche,
                            Manu Payet",,,  19/04/2017,261 235,,Comédie,France,,"
                                    Dominique Farrugia",,,"
                EuropaCorp","
                            Sous le même toit",https://www.jpbox-office.com/fichfilm.php?id=16994&view=2
"
                            Vin Diesel,
                            Michael Caine,
                            Elijah Wood",,,  28/10/2015,261 102,,Fantasy,Etats-Unis,,,,,"
                SND","
                            Le Dernier chasseur de sorcières",https://www.jpbox-office.com/fichfilm.php?id=14881&view=2
"
                            Vin Diesel,
                            Michael Caine,
                            Elijah Wood",90 000 000 $,,  28/10/2015,261 102,,Fantasy,Etats-Unis,,,,,"
                SND","
                            Le Dernier chasseur de sorcières",https://www.jpbox-office.com/fichfilm.php?id=14881&view=2
"
                            Louise Bourgoin,
                            Gilles Lellouche,
                            Manu Payet",9 552 512 €,,  19/04/2017,261 235,,Comédie,France,,"
                                    Dominique Farrugia",,,"
                EuropaCorp","
                            Sous le même toit",https://www.jpbox-office.com/fichfilm.php?id=16994&view=2
,10 070 000 €,,  12/04/2023,256 753,,Comédie,France,,,,,"
                Studiocanal","
                            10 jours encore sans maman",https://www.jpbox-office.com/fichfilm.php?id=22689&view=2
"
                            Jérôme Commandeur,
                            François Damiens,
                            Benoît Magimel",,,  12/10/2022,257 163,,Aventure - Action,France,,,,,"
                Pathé","
                            Jack Mimoun et les secrets de Val Verde",https://www.jpbox-office.com/fichfilm.php?id=22330&view=2
"
                            Jérôme Commandeur,
                            François Damiens,
                            Benoît Magimel",14 470 000 €,,  12/10/2022,257 163,,Aventure - Action,France,,,,,"
                Pathé","
                            Jack Mimoun et les secrets de Val Verde",https://www.jpbox-office.com/fichfilm.php?id=22330&view=2
"
                            Franck Dubosc",10 070 000 €,,  12/04/2023,256 753,,Comédie,France,,,,,"
                Studiocanal","
                            10 jours encore sans maman",https://www.jpbox-office.com/fichfilm.php?id=22689&view=2
,65 000 000 $,,  16/10/2019,256 867,Franchise,Animation,Etats-Unis,,,,,"
                Sony Pictures","
                            Angry Birds : Copains comme cochons",https://www.jpbox-office.com/fichfilm.php?id=19284&view=2
,30 000 000 $,,  04/01/2012,253 128,,Thriller,Etats-Unis,,,,,"
                SND","
                            Le Pacte",https://www.jpbox-office.com/fichfilm.php?id=12385&view=2
,60 000 000 $,,  19/02/2003,252 238,,Romance,Etats-Unis,,,,,"
                Warner Bros.","
                            L'Amour sans préavis",https://www.jpbox-office.com/fichfilm.php?id=1812&view=2
,9 000 000 $,,  23/07/2014,252 330,Franchise,Horreur,Etats-Unis,,,,,"
                Universal","
                            American Nightmare 2 : Anarchy",https://www.jpbox-office.com/fichfilm.php?id=14124&view=2
"
                            Hugh Grant,
                            Sandra Bullock",60 000 000 $,,  19/02/2003,252 238,,Romance,Etats-Unis,,,,,"
                Warner Bros.","
                            L'Amour sans préavis",https://www.jpbox-office.com/fichfilm.php?id=1812&view=2
,38 000 000 $,,  18/09/2013,254 478,Franchise,Science Fiction,Etats-Unis,,"
                                    David Twohy",,,"
                Metropolitan","
                            Riddick",https://www.jpbox-office.com/fichfilm.php?id=12695&view=2
"
                            Vin Diesel",38 000 000 $,,  18/09/2013,254 478,Franchise,Science Fiction,Etats-Unis,Vin Diesel,"
                                    David Twohy",,,"
                Metropolitan","
                            Riddick",https://www.jpbox-office.com/fichfilm.php?id=12695&view=2
,9 000 000 $,,  23/07/2014,252 330,Franchise,Horreur,Etats-Unis,Jason Blum,,,,"
                Universal","
                            American Nightmare 2 : Anarchy",https://www.jpbox-office.com/fichfilm.php?id=14124&view=2
"
                            Nicolas Cage,
                            Guy Pearce",30 000 000 $,,  04/01/2012,253 128,,Thriller,Etats-Unis,,,,,"
                SND","
                            Le Pacte",https://www.jpbox-office.com/fichfilm.php?id=12385&view=2
"
                            Jack Black,
                            Robert Downey Jr,
                            Ben Stiller,
                            Tom Cruise,
                            Matthew McConaughey,
                            Nick Nolte,
                            Tobey Maguire,
                            Jon Voight",,,  15/10/2008,249 246,,Comédie,Etats-Unis,,,,,"
                Paramount","
                            Tonnerre sous les Tropiques",https://www.jpbox-office.com/fichfilm.php?id=9885&view=2
"
                            Jack Black,
                            Robert Downey Jr,
                            Ben Stiller,
                            Tom Cruise,
                            Matthew McConaughey,
                            Nick Nolte,
                            Tobey Maguire,
                            Jon Voight",92 000 000 $,,  15/10/2008,249 246,,Comédie,Etats-Unis,,,,,"
                Paramount","
                            Tonnerre sous les Tropiques",https://www.jpbox-office.com/fichfilm.php?id=9885&view=2
,15 370 000 €,,  17/10/2018,248 868,,Comédie,France,,,,,"
                Metropolitan","
                            Le Flic de Belleville",https://www.jpbox-office.com/fichfilm.php?id=18266&view=2
"
                            Vincent Perez",,,  19/06/2002,248 920,,Thriller,Etats-Unis,,,,,"
                Warner Bros.","
                            La Reine des damnés",https://www.jpbox-office.com/fichfilm.php?id=1847&view=2
"
                            Vincent Perez",35 000 000 $,,  19/06/2002,248 920,,Thriller,Etats-Unis,,,,,"
                Warner Bros.","
                            La Reine des damnés",https://www.jpbox-office.com/fichfilm.php?id=1847&view=2
"
                            Omar Sy,
                            Franck Gastambide",15 370 000 €,,  17/10/2018,248 868,,Comédie,France,,,,,"
                Metropolitan","
                            Le Flic de Belleville",https://www.jpbox-office.com/fichfilm.php?id=18266&view=2
,37 000 000 $,,  09/04/2008,243 392,,Film familial,Etats-Unis,,,,,"
                SND","
                             L'Ile de Nim",https://www.jpbox-office.com/fichfilm.php?id=9876&view=2
,58 000 000 $,,  20/01/2010,244 156,,Romance,Etats-Unis,,,,,"
                Sony Pictures","
                            Où sont passés les Morgan ?",https://www.jpbox-office.com/fichfilm.php?id=10984&view=2
,? $,,  06/11/2013,244 108,,Comédie dramatique,Etats-Unis,,"
                                    Joel Coen",,,"
                Studiocanal","
                            Inside Llewyn Davis",https://www.jpbox-office.com/fichfilm.php?id=13545&view=2
"
                            Gerard Butler,
                            Jodie Foster",37 000 000 $,,  09/04/2008,243 392,,Film familial,Etats-Unis,,,,,"
                SND","
                             L'Ile de Nim",https://www.jpbox-office.com/fichfilm.php?id=9876&view=2
,42 000 000 $,,  26/09/2018,243 245,,Fantasy,Etats-Unis,,"
                                    Eli Roth",,,"
                Universal","
                            La Prophétie de l'horloge",https://www.jpbox-office.com/fichfilm.php?id=18118&view=2
"
                            Jack Black,
                            Cate Blanchett",42 000 000 $,,  26/09/2018,243 245,,Fantasy,Etats-Unis,,"
                                    Eli Roth",,,"
                Universal","
                            La Prophétie de l'horloge",https://www.jpbox-office.com/fichfilm.php?id=18118&view=2
"
                            John Goodman,
                            Justin Timberlake,
                            Adam Driver",? $,,  06/11/2013,244 108,,Comédie dramatique,Etats-Unis,,"
                                    Joel Coen",,,"
                Studiocanal","
                            Inside Llewyn Davis",https://www.jpbox-office.com/fichfilm.php?id=13545&view=2
"
                            Hugh Grant,
                            Sarah Jessica Parker",58 000 000 $,,  20/01/2010,244 156,,Romance,Etats-Unis,,,,,"
                Sony Pictures","
                            Où sont passés les Morgan ?",https://www.jpbox-office.com/fichfilm.php?id=10984&view=2
,200 000 000 $,,  08/02/2023,242 859,,Drame,Etats-Unis,,"
                                    James Cameron",,,"
                Walt Disney Pictures","
                            Titanic (25th Anniversary)",https://www.jpbox-office.com/fichfilm.php?id=22685&view=2
"
                            Leonardo DiCaprio,
                            Kate Winslet,
                            Bill Paxton",200 000 000 $,James Horner,  08/02/2023,242 859,,Drame,Etats-Unis,,"
                                    James Cameron",,,"
                Walt Disney Pictures","
                            Titanic (25th Anniversary)",https://www.jpbox-office.com/fichfilm.php?id=22685&view=2
,26 000 000 $,,  24/12/2003,243 106,,Film familial,Etats-Unis,,,Remake,,"
                GBVI","
                            Freaky Friday - Dans la peau de ma mère",https://www.jpbox-office.com/fichfilm.php?id=1472&view=2
"
                            Jamie Lee Curtis",26 000 000 $,,  24/12/2003,243 106,,Film familial,Etats-Unis,,,Remake,,"
                GBVI","
                            Freaky Friday - Dans la peau de ma mère",https://www.jpbox-office.com/fichfilm.php?id=1472&view=2
