acteurs,anecdotes,duree,entrees,genre,pays,realisateur,studio,titre,Nb_celebrites,Est_Top_Studio
"Yûki Yamada,Shôtarô Mamiya,Amane Okayama",5,120,10174,"Animation,Drame",Japon,Yuzuru Tachikawa,Eurozoom,Blue Giant,0,0
"Kamila Urzedowska,Nadia Tereszkiewicz,Robert Gulaczyk",7,114,16136,Drame,Pologne,"DK Welchman,Hugh Welchman",The Jokers / Les Bookmakers,La Jeune fille et les paysans,0,0
"Iván Cáceres,Cesar Herrera,Paulina García",0,85,4110,Drame,Chili,Claudia Huaiquimilla,JHR Films,Mis Hermanos,0,0
"Yu-mi Jeong,Sun-kyun Lee,Kim Kum-Soon",7,95,48796,"Epouvante-horreur,Thriller",Corée du Sud,Jason Yu,The Jokers / Les Bookmakers,Sleep,0,0
"Pierre Niney,Lou de Laâge,André Dussollier",9,130,292081,"Drame,Thriller",France,Yann Gozlan,StudioCanal,Boîte noire,1,0
"Bryce Dallas Howard,Sam Rockwell,Henry Cavill",12,140,219098,"Action,Espionnage,Thriller",Grande-Bretagne,Matthew Vaughn,Universal Pictures International France,Argylle,2,0
"Halle Berry,Patrick Wilson,John Bradley (II)",13,120,207212,"Action,Science Fiction",U.S.A.,Roland Emmerich,Metropolitan FilmExport,Moonfall,0,0
"Marc-André Grondin,Yves Jacques,Anne-Elisabeth Bossé",6,112,33121,Drame,France,Xavier Legrand,Haut et Court,Le Successeur,0,0
"Viggo Mortensen,Chiara Mastroianni,Alaina Clifford",6,147,5318,Drame,Argentine,Lisandro Alonso,Le Pacte,Eureka,1,1
"André Dussollier,Stephen Fry,Marion Cotillard",6,97,87482,"Aventure,Animation,Famille",Irlande,"Jim Capobianco,Pierre-Luc Granjon",KMBO,"Léo, la fabuleuse histoire de Léonard de Vinci",1,0
"Kenneth Branagh,Tina Fey,Camille Cottin",12,104,250148,"Policier,Drame,Thriller",Grande-Bretagne,Kenneth Branagh,The Walt Disney Company France,Mystère à Venise,3,0
"Cathalina Geraerts,Felix Heremans,Greet Verstraete",5,102,3464,Drame,Belgique,Fien Troch,New Story,Holly,0,0
"Emma Stone,Mark Ruffalo,Willem Dafoe",16,141,186568,"Comédie,Drame,Fantastique",Irlande,Yorgos Lanthimos,The Walt Disney Company France,Pauvres Créatures,1,0
"Pierre Niney,Blanche Gardin,Frankie Wallach",8,102,188920,"Comédie,Comédie dramatique,Drame",France,Michel Gondry,The Jokers / Les Bookmakers,Le Livre des solutions,1,0
"Reina Ueda,Koji Yakusho,Tokio Emoto",6,125,103232,"Comédie,Drame",Allemagne,Wim Wenders,Haut et Court,Perfect Days,0,0
"Zafreen Zairizal,Deena Ezral, Piqa",6,95,2091,"Drame,Fantastique,Epouvante-horreur",Malaisie,Amanda Nell Eu,Jour2fête,Tiger Stripes,0,0
"Romain Duris,Paul Kircher,Adèle Exarchopoulos",10,130,224476,"Aventure,Drame,Fantastique",France,Thomas Cailley,StudioCanal,Le Règne animal,2,0
"Mouna Hawa,Seleena Rababah,Haitham Omari",6,113,14474,Drame,Jordanie,Amjad Al Rasheed,Pyramide Distribution,Inchallah un fils,0,0
"Raphaël Quenard,Pio Marmaï,Blanche Gardin",4,67,130879,Comédie,France,Quentin Dupieux,Diaphana Distribution,Yannick,3,0
"Birane Ba,Leïla Bekhti,Dali Benssalah",8,118,282292,Drame,France,Jeanne Herry,StudioCanal,Je verrai toujours vos visages,1,0
"Sydney Sweeney,Glen Powell,Alexandra Shipp",5,104,99314,"Comédie,Romance",U.S.A.,Will Gluck,Sony Pictures Entertainment France,Tout sauf toi,0,0
"Leah Aubert,Médina Diarra,Salma Takaline",6,101,13806,"Comédie,Drame",France,Nora El Hourch,Paname Distribution,HLM Pussy,0,0
"Matthew McConaughey,Hugh Grant,Charlie Hunnam",7,113,238040,"Action,Policier",U.S.A.,Guy Ritchie,SND,The Gentlemen,3,1
"Timothée Chalamet,Calah Lane,Keegan-Michael Key",14,117,787846,"Aventure,Famille,Fantastique",U.S.A.,Paul King,Warner Bros. France,Wonka,1,0
"Alice Isaaz,Roschdy Zem,Vincent Elbaz",7,83,52962,Drame,France,Alix Delaporte,Pyramide Distribution,Vivants,2,0
"Charlotte Gainsbourg,Quito Rayon Richter,Noée Abita",8,111,78880,Drame,France,Mikhaël Hers,Pyramide Distribution,Les Passagers de la nuit,1,0
"Anamaria Vartolomei,Kacey Mottet Klein,Luàna Bajrami",10,100,62150,Drame,France,Audrey Diwan,Wild Bunch Distribution,L'Evénement,0,0
"Léa Seydoux,George MacKay,Guslagie Malanda",10,146,40476,"Drame,Romance,Science Fiction",France,Bertrand Bonello,Ad Vitam,La Bête,1,0
"Pio Marmaï,Kumail Nanjiani,Laure Calamy",9,82,266863,"Aventure,Animation,Comédie",U.S.A.,"Benjamin Renner,Guylo Homsy",Universal Pictures International France,Migration,2,0
"Valeria Bruni Tedeschi,Yona Rozenkier,Germaine Unikovsky",4,101,5019,Drame,Israël,Yossi Aviram,Les Films du Losange,Il n'y a pas d'ombre dans le désert,0,0
"Alexander Lincoln,Alexander King,Christopher Sherwood",1,134,1753,"Drame,Romance",Grande-Bretagne,Matt Carter (II),Optimale Distribution,Dans la mêlée,0,0
"Cristiana Dell'Anna,John Lithgow,David Morse",4,145,1062,"Biopic,Drame",U.S.A.,Alejandro Monteverde,Saje Distribution,Cabrini,0,0
"Charlotte De Bruyne,Rosa Marchant,Amber Metdepenningen",4,111,4156,Drame,Belgique,Veerle Baetens,Jour2fête,Débâcle,0,0
"Satoshi Tsumabuki,Sakura Andô,Masataka Kubota",5,121,38635,Thriller,Japon,Kei Ishikawa,Art House,A Man,0,0
"Christian Clavier,Chantal Lauby,Ary Abittan",8,98,874683,"Comédie,Famille",France,Philippe de Chauveron,UGC Distribution,Qu'est-ce qu'on a tous fait au Bon Dieu ?,1,0
"Camille Cottin,Léa Lopez,Thomas Gioria",8,96,121678,"Comédie,Comédie dramatique,Drame",France,Nathan Ambrosioni,StudioCanal,Toni en famille,1,0
"Ella Rumpf,Jean-Pierre Darroussin,Clotilde Courau",6,114,53400,"Comédie,Comédie dramatique,Drame",France,Anna Novion,Pyramide Distribution,Le Théorème de Marguerite,0,0
"Natsuki Hanae,Kengo Kawanishi,Akari Kito",0,104,151200,"Action,Animation,Drame",Japon,Haruo Sotozaki,Sony Pictures Releasing France,Demon Slayer: Kimetsu No Yaiba – En route vers l'entraînement des piliers,0,0
"Didier Bourdon,Eric Fraticelli,Philippe Corti",6,92,137335,Comédie,France,Eric Fraticelli,Pan Distribution,Inestimable,0,0
"Catherine Deneuve,Andrea Riseborough,Morgan Saylor",7,93,19143,Comédie dramatique,France,"Hanna Ladoul,Marco La Via",UGC Distribution / TF1 Studio,Au fil des saisons,1,0
"Leonardo DiCaprio,Lily Gladstone,Robert De Niro",22,206,418140,"Drame,Historique,Thriller",U.S.A.,Martin Scorsese,Paramount Pictures France,Killers of the Flower Moon,3,0
"Mia Maelzer,Fotinì Peluso,Kim Raver",6,121,306073,"Comédie,Comédie dramatique,Drame",France,Laetitia Colombani,SND,La Tresse,0,1
"Margot Robbie,Ryan Gosling,America Ferrera",15,115,1680490,"Aventure,Comédie,Famille",U.S.A.,Greta Gerwig,Warner Bros. France,Barbie,2,0
"Jason Statham,Jing Wu,Shuya Sophia Cai",15,116,696823,"Action,Thriller",U.S.A.,Ben Wheatley,Warner Bros. France,En eaux très troubles,1,0
"Léa Drucker,Olivier Rabourdin,Samuel Kircher",11,104,58358,"Drame,Thriller",France,Catherine Breillat,Pyramide Distribution,L'Été dernier,0,0
"Tarek Boudali,Philippe Lacheau,Julien Arruti",7,87,872669,"Action,Comédie",France,Tarek Boudali,StudioCanal,3 jours max,1,0
