,budget,compositeur,date,duree,entrees_premiere_semaine,franchise,genre,pays,producteur,remake,salles_premiere_semaine,titre,scoring_acteurs_realisateurs,season,coeff_studio
944,29000000,,2021-05-26,108,133,,Science Fiction,Etats-Unis,,,,Voyagers,0.1034482758620689,Printemps,3
945,0,,2021-06-16,89,40,,Drame,Etats-Unis,,,,Land,0.0,Été,3
946,35000000,,2006-01-04,113,191,,Comédie,Etats-Unis,,Remake,,Bad News Bears,0.0,Hiver,0
947,0,,2009-12-02,90,154,,Comédie dramatique,Etats-Unis,,,,Maman mode d'emploi,0.0,Hiver,0
948,14000000,,2005-08-24,106,435,,Film familial,Etats-Unis,,,,Winn-Dixie mon meilleur ami,0.0,Été,3
949,0,,2008-09-10,103,195,,Drame,Australie,,,,Irresistible,0.0,Automne,0
950,0,,2004-06-30,107,197,,Drame,Etats-Unis,,,,Dans les cordes,0.0,Été,0
951,18000000,,2003-03-19,87,227,,Comédie,Etats-Unis,,,,Orange County,0.0,Printemps,0
952,0,,2019-08-21,109,256,,Film familial,Etats-Unis,,,,Mes autres vies de chien,0.0,Été,3
953,0,,1997-12-17,88,264,,Comédie,Etats-Unis,,,,Le Ninja de Beverly Hills,0.0,Hiver,3
954,0,,2005-09-28,105,264,Franchise,Comédie,Etats-Unis,,,,Beauty Shop,0.0,Automne,1
955,31000000,,2003-01-29,95,276,,Aventure - Action,Etats-Unis,,,,Ignition,0.0,Hiver,0
956,0,,2022-08-17,98,274,,Drame,Etats-Unis,,,,Les Derniers jours dans le désert,0.1034482758620689,Été,0
957,0,,2002-08-07,104,306,,Drame,Etats-Unis,,,,Joe Gould's Secret,0.0,Été,0
958,45000000,,2006-03-08,112,316,,Comédie,Etats-Unis,,Remake,,Vacances sur ordonnance,0.4137931034482758,Printemps,0
959,57000000,,2012-09-19,100,311,,Comédie,Etats-Unis,,,,The Big Year,0.0,Automne,3
960,35000000,,2015-05-20,91,325,,Comédie,Etats-Unis,,,,Jet Lag,0.0,Printemps,3
961,4600000,,2013-11-27,103,394,,Comédie dramatique,Etats-Unis,,,,Cet été-là,0.0,Automne,3
962,10000000,,2012-11-21,101,338,,Horreur,Etats-Unis,,,,La Maison au bout de la rue,0.3103448275862069,Automne,2
963,40000000,,2008-05-07,102,451,,Comédie,Etats-Unis,Judd Apatow,,,Drillbit Taylor : garde du corps,0.3103448275862069,Printemps,3
964,25000000,,2012-06-13,100,485,,Comédie,Etats-Unis,,,,Baby-Sitter malgré lui,0.0,Été,3
965,12000000,,2004-08-04,91,470,,Film familial,Etats-Unis,,,,Les Petits braqueurs,0.2413793103448276,Été,2
966,35000000,Danny Elfman,2006-11-01,100,578,,Comédie,Etats-Unis,,,,Super Nacho,0.0,Automne,0
967,0,,2006-07-05,125,572,,Romance,Etats-Unis,Ridley Scott,,,Tristan + Yseult,0.1379310344827586,Été,3
968,15000000,,2009-01-07,102,745,,Comédie,Etats-Unis,,,,The Rocker,0.3793103448275862,Hiver,3
969,14000000,,2012-08-29,149,503,,Drame,Etats-Unis,,,,Margaret,0.1034482758620689,Été,3
970,15000000,,2010-07-07,89,606,,Comédie,Etats-Unis,,,,Post Grad,0.0,Été,3
971,19000000,,2005-04-13,98,603,,Comédie,Etats-Unis,,,,Jusqu'au cou,0.0,Printemps,0
972,24000000,,2011-12-21,113,977,,Musical,Etats-Unis,,Remake,,Footloose (2011),0.0,Hiver,3
973,0,,2015-09-16,100,634,,Drame,Etats-Unis,Brad Pitt,,,True Story,0.1034482758620689,Automne,3
974,0,,2009-07-22,129,636,,Thriller,Etats-Unis,,,,Silver City,0.0,Été,0
975,2339,,2001-03-28,92,774,,Comédie,Etats-Unis,,,,Sac d'embrouilles,0.0,Printemps,0
976,16439106,,2004-08-25,120,815,,Thriller,Canada,,,,Crime contre l'humanité,0.0,Été,0
977,69000000,,2010-11-10,110,852,,Comédie,Etats-Unis,,Remake,,The Dinner,0.0,Automne,3
978,22000000,,2005-09-28,83,890,,Comédie,Etats-Unis,Adam Sandler,,,Gigolo malgré lui,0.0,Automne,1
979,0,,2009-11-25,90,1003,,Drame,Etats-Unis,,,,Noise,0.0,Automne,1
980,20000000,,2004-07-21,92,1069,,Film familial,Etats-Unis,,,,Filles de bonne famille,0.0,Été,2
981,0,,2005-08-03,100,1032,,Film familial,Etats-Unis,,,,Garde rapprochée,0.0,Été,1
982,15000000,,2006-10-25,94,1104,,Film familial,Grande-Bretagne,,,,Flicka,0.0,Automne,3
983,0,,2010-03-24,99,1132,,Comédie,Etats-Unis,,,,All About Steve,0.2413793103448276,Printemps,3
984,0,,2017-08-16,94,1200,,Comédie,Etats-Unis,,,,Wilson,0.0,Été,0
985,10000000,,2007-07-18,84,1321,,Comédie,Etats-Unis,,,,Alerte à Miami / Reno 911 !,0.0689655172413793,Été,3
986,0,,2011-01-05,90,1398,,Comédie,Etats-Unis,,,,La Guerre des pères,0.0,Hiver,3
987,10000000,,2006-11-22,103,1402,,Romance,Etats-Unis,,,,Trust the Man,0.0,Automne,3
988,3458,,2004-09-01,106,1396,,Thriller,Espagne,,,,Utopia,0.0344827586206896,Automne,0
989,0,,2016-10-12,45,1581,,Documentaire,Etats-Unis,,,,A Beautiful Planet,0.3103448275862069,Automne,0
990,48000000,,2010-06-09,102,1605,,Film familial,Etats-Unis,Jason Blum,,,Fée malgré lui,0.0689655172413793,Été,3
991,15000000,,2001-05-16,120,1946,,Comédie,Etats-Unis,,,,Où le cœur nous mène,0.2413793103448276,Printemps,2
992,31000000,,2005-05-11,96,1754,,Fantasy,Etats-Unis,,,,Ella au pays enchanté,0.1034482758620689,Printemps,2
993,0,,2006-08-16,95,2013,,Drame,Etats-Unis,,,,In The Mix,0.0,Été,3
994,20000000,,2009-05-27,119,2023,,Drame,Etats-Unis,,,,Un éclair de génie,0.0,Printemps,3
995,0,,2006-03-01,135,2054,,Comédie,Etats-Unis,,,,Breakfast on Pluto,0.0689655172413793,Printemps,2
996,60000000,Jerry Goldsmith,2002-07-03,132,2096,,Aventure - Action,Etats-Unis,,,,Le Dernier château,0.0,Été,0
997,0,,2006-12-06,110,2099,,Thriller,Etats-Unis,,,,Half Light,0.0,Hiver,0
998,0,,2005-12-14,105,2103,,Drame,Etats-Unis,,,,Adorable Julia,0.0,Hiver,0
999,82000000,,2005-11-23,113,2095,,Comédie,Etats-Unis,Adam Sandler,,,Mi-temps au mitard,0.0,Automne,1
1000,0,,2011-01-26,109,2122,,Thriller,Espagne,,,,Carte des sons de Tokyo,0.0,Hiver,0
1001,0,,2005-04-20,111,2140,,Romance,Etats-Unis,,,,Des étoiles plein les yeux,0.0,Printemps,3
1002,20000000,,2011-08-24,109,2151,,Romance,Etats-Unis,,,,Bienvenue à Monte-Carlo,0.0,Été,3
1003,0,,2003-05-07,105,2142,,Documentaire,France,,,,Fellini: Je suis un grand menteur,0.0,Printemps,0
1004,40000000,,2012-05-16,91,2300,,Comédie,Etats-Unis,,,,Mille Mots,0.0,Printemps,3
1005,60000000,,2006-03-01,100,2307,Franchise,Film familial,Etats-Unis,,,,Treize à la douzaine 2,0.0,Printemps,3
1006,2000000,,2012-02-15,84,2347,,Drame,Etats-Unis,,,,Howl,0.1034482758620689,Hiver,0
1007,27000000,,2004-09-01,99,2470,,Comédie,Etats-Unis,,,,Connie et Carla,0.0,Automne,0
1008,0,,2008-04-30,105,2500,,Drame,Etats-Unis,,,,Joshua,0.0,Printemps,3
1009,35200000,,2003-08-20,95,2510,,Comédie,Etats-Unis,,,,Président par accident,0.0,Été,0
1010,12000000,,2011-06-22,111,2472,,Drame,Grande-Bretagne,,,,Brighton Rock,0.0,Été,1
1011,5112000,,2012-12-12,95,2531,,Comédie dramatique,Espagne,,,,Un Jour de Chance,0.0,Hiver,0
1012,15000000,,2011-05-04,112,2550,,Musical,Etats-Unis,,,,Country Strong,0.0,Printemps,3
1013,0,,2010-08-11,118,3006,,Comédie dramatique,Espagne,,,,Caótica Ana,0.0,Été,0
1014,31500000,,2019-08-21,182,2906,,Guerre,Etats-Unis,,,,Apocalypse Now (Final Cut),0.1034482758620689,Été,1
1015,0,,2004-12-15,91,2615,,Comédie,Etats-Unis,,,,Famille à louer,0.3793103448275862,Hiver,0
1016,25000000,,2005-08-31,97,2662,,Comédie,Etats-Unis,Luc Besson,Remake,,New York Taxi,0.0,Été,3
1017,26000000,,2005-05-18,94,2734,,Comédie,Etats-Unis,Judd Apatow,,,Présentateur vedette: La légende de Ron Burgundy,0.0,Printemps,0
1018,0,,2001-06-13,120,2743,,Drame,Canada,,,,Rédemption (2001),0.0,Été,2
1019,0,,2008-07-09,90,2740,,Comédie,Etats-Unis,,,,Balles de feu,0.0,Été,0
1020,32000000,,2005-07-27,94,2760,Franchise,Film familial,Etats-Unis,,,,On arrive quand?,0.0,Été,1
1021,24000000,,2003-07-30,110,2863,,Aventure - Action,Etats-Unis,,,,Biker Boyz,0.0,Été,0
1022,55000000,,2009-09-30,107,2876,,Comédie,Etats-Unis,Lorenzo di Bonaventura,,,Dans ses rêves,0.0,Automne,3
1023,0,,2005-03-16,103,3195,,Drame,Etats-Unis,,,,Dear Frankie,0.1379310344827586,Printemps,2
1024,6288,,2001-08-01,100,3054,,Comédie dramatique,Grande-Bretagne,,,,Some voices,0.1379310344827586,Été,0
1025,0,,2018-08-22,90,3133,,Comédie dramatique,Brésil,,,,O Grande Circo Místico,0.2068965517241379,Été,0
1026,0,,2018-01-24,90,3139,,Documentaire,Australie,,,,Sugarland,0.0344827586206896,Hiver,0
1027,12000000,,2010-07-07,97,3104,,Péplum,Grande-Bretagne,,,,Centurion,0.0689655172413793,Été,2
1028,1000000,Danny Elfman,2007-06-13,40,3286,,Documentaire,Etats-Unis,,,,Deep Sea - Dansons sous la mer,0.7241379310344828,Été,0
1029,22000000,Hans Zimmer,2005-11-30,101,3389,,Comédie,Etats-Unis,,,,The Weather Man,0.0689655172413793,Automne,0
1030,6400000,,2004-04-21,93,3413,,Drame,Grande-Bretagne,,,,Young Adam,0.1034482758620689,Printemps,0
1031,0,,2008-03-19,40,3441,,Documentaire,Etats-Unis,,,,Géants des profondeurs 3D - une aventure préhistorique,0.0,Printemps,0
1032,0,,2016-10-26,93,3554,,Drame,Espagne,,,,L'Attrape-rêves,0.3793103448275862,Automne,1
1033,0,,2007-07-04,93,3563,,Comédie,Etats-Unis,,,,Tenacious D: The Pick of Destiny,0.1379310344827586,Été,0
1034,0,,2011-10-05,96,4268,,Comédie dramatique,Grande-Bretagne,,,,Toast,0.0,Automne,2
1035,25000000,,2014-04-30,105,4312,,Aventure - Action,Etats-Unis,,,,Man of Tai Chi,0.2068965517241379,Printemps,3
1036,12500000,,2011-03-16,107,4426,,Drame,Etats-Unis,,,,Conviction,0.0,Printemps,3
1037,3000000,,2009-01-21,89,4510,,Comédie dramatique,Etats-Unis,,,,Choke,0.0,Hiver,3
1038,0,,2015-02-04,95,4525,,Comédie dramatique,Grande-Bretagne,,,,Frank,0.0689655172413793,Hiver,1
1039,49900000,,2011-09-07,102,4897,,Comédie,Etats-Unis,,,,Votre Majesté,0.3448275862068966,Automne,3
1040,40000000,,2012-04-18,123,4730,,Comédie dramatique,Etats-Unis,,,,Miracle en Alaska,0.0,Printemps,3
1041,10000000,,2003-05-21,89,4888,,Romance,Grande-Bretagne,,,,A la dérive,0.0,Printemps,3
1042,25000000,,2009-10-28,83,5084,,Comédie,Etats-Unis,,,,Dance Movie,0.0,Automne,3
1043,24000000,,2003-08-13,90,5134,,Comédie,Etats-Unis,,,,Back to school (retour à la fac),0.0,Été,0
1044,1200000,,2001-06-20,111,5133,,Drame,Etats-Unis,,,,Tu peux compter sur moi,0.0,Été,0
1045,0,,2006-03-15,87,5163,,Drame,Etats-Unis,,,,The Woodsman,0.0,Printemps,0
1046,5000000,,2006-04-26,125,5368,,Thriller,Espagne,,,,El Lobo,0.0,Printemps,0
1047,6321,,2010-12-01,102,5357,,Romance,Canada,,,,Lullaby,0.0344827586206896,Hiver,2
1048,40000000,,2009-07-29,110,5382,,Comédie,Etats-Unis,,,,"I Love You, Man",0.0,Été,3
1049,12000000,,2000-11-29,98,5421,,Musical,Etats-Unis,,,,Black and White,0.1724137931034483,Automne,3
1050,1900000,,2003-11-19,100,5449,,Drame,Etats-Unis,,,,Northfork,0.0,Automne,0
1051,30000000,,2005-10-05,98,5488,,Romance,Etats-Unis,,,,La Main au collier,0.0,Automne,3
1052,0,,2005-05-18,119,5670,,Comédie,Etats-Unis,,,,Fashion maman,0.0,Printemps,2
1053,18000000,,2010-12-08,112,5515,,Drame,Etats-Unis,,,,"Tolstoï, le dernier automne",0.0344827586206896,Hiver,0
1054,13000000,,2012-01-11,101,5746,,Thriller,Etats-Unis,,,,Intruders,0.0,Hiver,3
1055,0,,2014-05-14,107,5826,,Aventure - Action,Etats-Unis,,,,Charlie Countryman,0.0344827586206896,Printemps,0
1056,28000000,,2006-10-18,103,6052,,Romance,Etats-Unis,,,,Lucky Girl,0.0,Automne,3
1057,10000000,,2018-10-31,117,6089,,Drame,Etats-Unis,,,,Seule la vie...,0.1034482758620689,Automne,0
1058,0,,2004-07-28,96,6092,,Comédie,Grande-Bretagne,,,,L'Amour six pieds sous terre,0.0344827586206896,Été,0
1059,12000000,,2008-12-24,106,6158,,Comédie,Etats-Unis,,,,Une Fiancée Pas Comme Les Autres,0.1379310344827586,Hiver,0
1060,0,,2014-03-26,96,6183,,Thriller,Grande-Bretagne,,,,Closed Circuit,0.0,Printemps,3
1061,10000000,,2001-03-21,135,6382,,Comédie,Etats-Unis,,,,The Very Black Show,0.0,Printemps,0
1062,0,,2018-01-24,95,6355,,Drame,France,,,,Hannah,0.0,Hiver,1
1063,100000000,,2007-12-26,116,6246,,Comédie,Etats-Unis,Joel Silver,,,Frère Noël,0.0,Hiver,3
1064,70000000,Hans Zimmer,2011-05-11,118,6450,,Comédie,Etats-Unis,Brian Grazer,,,Le Dilemne,0.0689655172413793,Printemps,3
1065,0,,2018-05-30,79,6447,,Documentaire,France,,,,"L'Homme dauphin, sur les traces de Jacques Mayol",0.0,Printemps,0
1066,0,,2016-04-27,112,6488,,Aventure - Action,Australie,,,,Tracks,0.0,Printemps,0
1067,20000000,,2003-10-29,117,6506,,Film familial,Etats-Unis,,,,La Morsure du lézard,0.0,Automne,2
1068,400000,,2006-09-20,94,6506,,Drame,Etats-Unis,,,,12 and Holding,0.2068965517241379,Automne,0
1069,0,,1998-06-10,93,6787,,Comédie,Etats-Unis,,,,L'Homme qui en savait trop peu,0.0,Été,3
1070,35000000,,2012-05-30,98,6771,,Comédie,Etats-Unis,Judd Apatow,,,"Peace, Love et plus si affinités",0.0,Printemps,3
1071,0,,2008-03-05,95,6664,,Comédie,Grande-Bretagne,,,,Cours toujours Dennis,0.0,Printemps,0
1072,0,,2016-04-06,87,6815,,Drame,Argentine,,,,Eva ne dort pas,0.0,Printemps,0
1073,0,,2015-04-08,112,6880,,Comédie dramatique,Etats-Unis,,,,The Humbling,0.4137931034482758,Printemps,0
1074,20000000,Brian Tyler,2006-02-15,84,6848,,Thriller,Etats-Unis,,,,Paparazzi - Objectif chasse à l'homme,0.1379310344827586,Hiver,0
1075,34894,,2004-09-15,105,7084,,Drame,Italie,,,,Les Clefs de la maison,0.0,Automne,2
1076,22000000,,2002-11-06,104,7273,,Comédie,Etats-Unis,,,,Jay et Bob contre-attaquent,0.4827586206896551,Automne,2
1077,35000000,James Horner,2003-11-05,131,7397,,Aventure - Action,Etats-Unis,,,,Frères du désert,0.0,Automne,0
1078,1800000,,2003-04-30,120,7496,,Drame,Mexique,,,,Le Crime du Père Amaro,0.0,Printemps,3
1079,0,,2011-08-31,106,7534,,Comédie,Etats-Unis,,,,Les Winners,0.0,Été,3
1080,0,,2004-10-06,125,7757,,Musical,Etats-Unis,,,,De-lovely,0.0,Automne,2
1081,18500000,,2010-04-28,100,7781,,Comédie,Etats-Unis,,,,The Invention of Lying,0.0,Printemps,3
1082,0,,2010-10-20,226,8154,,Drame,Portugal,,,,Mystères de Lisbonne,0.1379310344827586,Automne,0
1083,23000000,,2005-05-04,142,8164,,Drame,Etats-Unis,,,,Vanity Fair: La Foire aux vanités,0.1034482758620689,Printemps,0
1084,28000000,,2011-12-28,83,8188,,Comédie,Etats-Unis,,,,30 minutes maximum,0.0,Hiver,3
1085,27000000,,2008-12-03,105,8235,,Comédie,Etats-Unis,Judd Apatow,,,Délire express,0.1034482758620689,Hiver,3
1086,40000000,,2017-02-01,110,8269,,Guerre,Etats-Unis,,,,Un jour dans la vie de Billy Lynn,0.3103448275862069,Hiver,3
1087,16888,,2009-09-23,88,8304,,Drame,France,,,,London River,0.2068965517241379,Automne,0
1088,0,,2022-05-23,100,8500,,Comédie dramatique,France,,,,Don Juan (2022),0.3103448275862069,Printemps,2
1089,1769719,,2014-11-26,106,8503,,Drame,Italie,,,,L'Incomprise,0.1034482758620689,Automne,0
1090,0,,2011-11-02,105,8330,,Comédie dramatique,France,,,,Love and Bruises,0.2068965517241379,Automne,0
1091,20000000,,2008-08-13,95,8527,,Horreur,Australie,,,,Solitaire,0.0,Été,2
1092,30000000,,2018-02-07,116,9357,,Drame,Etats-Unis,,,,Stronger,0.0689655172413793,Hiver,0
1093,19000000,,2010-08-11,97,9321,,Romance,Etats-Unis,,,,Donne-moi ta main,0.1379310344827586,Été,0
1094,18000000,,2004-03-03,113,8940,,Romance,Etats-Unis,,,,Sous le soleil de Toscane,0.0,Printemps,2
1095,0,,2001-05-09,90,8902,,Comédie,Grande-Bretagne,,,,Coup de peigne,0.0,Printemps,2
1096,0,,2020-07-01,101,9006,,Comédie dramatique,Etats-Unis,,,112,Irresistible (2020),0.0,Été,3
1097,17287,,2004-11-03,105,9042,,Drame,France,,,,Le Dernier jour,0.3448275862068966,Automne,0
1098,1150000,,2021-06-02,91,9052,,Drame,France,,,,Suzanna Andler,0.1034482758620689,Été,0
1099,27000000,,2009-07-15,108,9104,,Drame,Etats-Unis,,,,Un enfant pas comme les autres,0.0,Été,0
1100,16000000,,2001-08-15,95,9389,,Comédie,Etats-Unis,,,,Mais qui a tué Mona ?,0.0,Été,0
1101,62000000,,2008-09-17,88,9415,,Comédie,Etats-Unis,,,,Love Gourou,0.0,Automne,3
1102,50000000,,2000-06-14,137,9744,,Romance,Etats-Unis,,,,Pour l'amour du jeu,0.2413793103448276,Été,0
1103,0,,2015-12-02,84,9796,,Animation,Etats-Unis,,,,Le Prophète,0.0,Hiver,2
1104,38000000,,2003-11-19,103,9793,,Thriller,Etats-Unis,,,,Le Purificateur,0.0,Automne,0
1105,0,,2018-06-06,94,9810,,Drame,Grande-Bretagne,,,,"Alberto Giacometti, The Final Portrait",0.0344827586206896,Été,0
1106,0,,2008-03-05,93,9833,,Drame,Etats-Unis,,,,The Dead Girl,0.1724137931034483,Printemps,2
1107,2720197,,2008-01-30,119,9809,,Comédie,France,,,,Le Voyage du ballon rouge,0.2758620689655172,Hiver,0
1108,7000000,,2010-09-15,92,9911,,Comédie,Etats-Unis,Ridley Scott,,,Cyrus,0.0,Automne,3
1109,16019,,2012-09-19,122,9931,,Drame,France,,,,Captive,0.6206896551724138,Automne,0
1110,0,,2017-05-10,106,9951,,Drame,Etats-Unis,,,,Little Boy,0.0,Printemps,0
1111,0,,2012-11-28,97,10138,,Comédie,Belgique,,,,Tango libre,0.0344827586206896,Automne,2
1112,0,,2013-10-30,94,10174,,Comédie dramatique,Etats-Unis,,,,Prince of Texas,0.0,Automne,1
1113,0,,2003-01-29,140,10729,,Thriller,Italie,,,,Ginostra,0.0,Hiver,0
1114,0,,2021-06-16,115,10884,,Thriller,Etats-Unis,,,,L'un des nôtres,0.2413793103448276,Été,3
1115,0,,2003-10-15,100,10765,,Drame,Etats-Unis,,,,Evelyn,0.0,Automne,0
1116,0,,2021-07-21,114,10853,,Aventure - Action,Etats-Unis,,,,Bloody Milkshake,0.0,Été,2
1117,0,,2017-01-11,97,10854,,Drame,Etats-Unis,,,,Born to be Blue,0.3448275862068966,Hiver,0
1118,0,,2014-11-26,100,10827,,Comédie dramatique,Irlande,,,,Calvary,0.0,Automne,3
1119,0,,2008-02-20,113,10858,,Comédie,Etats-Unis,,,,La Famille Savage,0.0,Hiver,3
1120,0,,2005-03-23,107,10917,,Thriller,Grande-Bretagne,,,,Disparitions,0.1724137931034483,Printemps,0
1121,1500000,,2001-10-10,95,10864,,Drame,Etats-Unis,,,,Danny Balint,0.1379310344827586,Automne,0
1122,0,,2007-08-15,123,11230,,Drame,Etats-Unis,,,,"Jindabyne, Australie",0.0,Été,0
1123,0,,2023-06-28,91,11227,,Drame,France,,,,Passages,0.1724137931034483,Été,0
1124,5000000,,2003-02-12,90,11238,,Drame,Etats-Unis,,,,Othello 2003,0.0,Hiver,0
1125,24000000,,2008-06-25,145,11263,,Aventure - Action,Espagne,,,,Capitaine Alatriste,0.5172413793103449,Été,0
1126,0,,1994-09-07,124,11321,,Comédie dramatique,Etats-Unis,,,,Mrs. Parker et le cercle vicieux,0.0,Automne,0
1127,12000000,,2008-09-24,90,11362,,Comédie,Etats-Unis,,,,Married Life,0.0,Automne,3
1128,5500000,,2012-12-19,115,11368,,Romance,Danemark,,,,Love is All You Need,0.0,Hiver,0
1129,4000000,,2005-07-13,106,11532,,Thriller,Grande-Bretagne,,,,Layer Cake,0.1379310344827586,Été,1
1130,4000000,,2010-07-14,90,11568,,Documentaire,France,,,,La Vie sauvage des animaux domestiques,0.0,Été,2
1131,35000000,,2004-08-11,103,11644,,Comédie,Etats-Unis,,,,Père et fille,0.4827586206896551,Été,2
1132,0,,2021-09-08,93,11765,,Drame,Grande-Bretagne,,,95,Supernova (2021),0.2068965517241379,Automne,1
1133,0,,2015-04-22,108,11884,,Drame,Argentine,,,,Jauja,0.5172413793103449,Printemps,2
1134,10000000,,2001-12-05,111,12147,,Comédie,Etats-Unis,,,,Mafia parano,0.1724137931034483,Hiver,0
1135,170017,,2004-04-28,112,12143,Franchise,Aventure - Action,Etats-Unis,,,,Kill Bill: Volume 1 (Rep. 2004),0.2758620689655172,Printemps,2
1136,30000000,,2011-09-07,132,12134,,Comédie dramatique,Canada,,,,Le Monde de Barney,0.0,Automne,1
1137,12564,,2006-10-18,100,12564,,Romance,France,,,,Napoléon (et moi),0.1379310344827586,Automne,0
1138,0,,2018-06-20,102,12541,,Comédie,Grande-Bretagne,,,66,How To Talk To Girls At Parties,0.3448275862068966,Été,2
1139,0,,2021-10-06,113,12767,,Drame,Etats-Unis,,,,Fatima (2021),0.0,Automne,0
1140,0,,2011-08-31,91,12842,,Comédie,Grande-Bretagne,,,,Cadavres à la Pelle,0.0,Été,0
1141,680665,,2013-06-05,88,13014,,Comédie,France,,,,La Fille du 14 Juillet,0.0,Été,0
1142,0,,2013-07-24,86,13446,,Comédie,Etats-Unis,,,60,Dans la tête de Charles Swan III,0.0,Été,0
1143,9900000,,2016-03-02,107,13439,,Comédie,Grande-Bretagne,,,,Moonwalkers,0.0,Printemps,0
1144,15000000,,2007-12-26,85,13031,,Thriller,Etats-Unis,,,,The Return,0.0,Hiver,2
1145,14000000,,2017-03-29,111,13443,,Romance,France,,,,A United Kingdom,0.0,Printemps,2
1146,4429529,,2014-09-10,133,13050,,Drame,Norvège,,,,Mademoiselle Julie (2014),0.3103448275862069,Automne,0
1147,1800000,,2016-04-20,115,13050,,Drame,France,,,,Le Fils de Joseph,0.0,Printemps,0
1148,19665,,2022-10-05,96,13090,,Drame,France,,,,Une femme de notre temps,0.0689655172413793,Automne,2
1149,6323519,,2008-09-10,85,13093,,Science Fiction,France,,,,La Possibilité d'une île,0.2068965517241379,Automne,0
1150,0,,2019-03-20,139,13224,,Comédie dramatique,Etats-Unis,,Remake,,Du miel plein la tête,0.0,Printemps,3
1151,55544,,2004-10-13,93,13251,,Comédie,France,,,,Aaltra,0.1379310344827586,Automne,0
1152,0,,2018-01-24,100,13320,,Drame,Allemagne,,,,Marie Curie,0.0,Hiver,1
1153,14000000,,2006-02-01,105,13470,,Drame,Etats-Unis,,,,Les Mots retrouvés,0.2758620689655172,Hiver,3
1154,0,,2014-08-13,93,13311,,Comédie dramatique,Grande-Bretagne,,,,The Double (2014),0.0,Été,0
1155,4109834,,2012-05-02,96,13319,,Thriller,Norvège,,,,Babycall,0.0344827586206896,Printemps,1
1156,0,,2012-03-28,89,13535,,Romance,Grande-Bretagne,,,28,Perfect Sense,0.1034482758620689,Printemps,0
1157,26000000,,2012-06-20,103,13549,,Thriller,Etats-Unis,,,,L'Ombre du mal,0.0,Été,3
1158,0,,2009-06-24,105,13749,,Aventure - Action,Etats-Unis,,,,Fighting,0.0,Été,3
1159,0,,2018-11-28,109,13756,,Drame,France,,,,Voyage à Yoshino,0.2758620689655172,Automne,2
1160,40000000,,2018-09-19,91,13732,,Comédie,Etats-Unis,,,,Carnage chez les Puppets,0.0,Automne,0
1161,0,,2018-12-19,105,13801,,Drame,Grande-Bretagne,,,,The Happy Prince,0.2068965517241379,Hiver,1
1162,0,,2017-11-01,103,13803,,Drame,Etats-Unis,Ridley Scott,,,The Secret Man - Mark Felt,0.0,Automne,3
1163,0,,2014-10-29,115,13798,,Comédie,Etats-Unis,,,,Chef,0.0689655172413793,Automne,3
1164,0,,2008-05-28,92,13819,,Drame,Etats-Unis,,,,Grace is Gone,0.0,Printemps,2
1165,1000000,,2013-03-06,95,14061,,Comédie dramatique,Etats-Unis,,,,The Sessions,0.0,Printemps,3
1166,3400000,,2003-10-15,96,14122,,Drame,Portugal,,,,Un film parlé,0.2413793103448276,Automne,0
1167,6000000,,1993-01-20,112,14408,,Drame,Grande-Bretagne,,,,The Crying Game,0.0,Hiver,0
1168,100000000,,2009-08-26,93,14456,,Film familial,Etats-Unis,,,,Le Monde (presque) perdu,0.0,Été,3
1169,0,,2003-10-01,87,14531,,Romance,Etats-Unis,,,,Hôtesse à tout prix,0.0,Automne,2
1170,125000,,2013-07-03,90,14632,,Comédie dramatique,Etats-Unis,,Remake,,"Ma meilleure amie, sa soeur et moi",0.0,Été,2
1171,10000000,,2015-12-09,122,14752,,Drame,Etats-Unis,Brad Pitt,,,Vue sur mer,0.896551724137931,Hiver,3
1172,0,,1997-10-08,98,14798,,Romance,Grande-Bretagne,,,,Pour l'amour de Roseanna,0.0,Automne,1
1173,0,,2023-01-11,100,14978,,Drame,France,,,,L'Envol (Scarlet),0.0,Hiver,2
1174,0,,2017-12-13,88,15371,,Drame,Etats-Unis,,,,Lucky,0.0,Hiver,1
1175,361757,,2013-12-25,91,15138,,Comédie,France,,,,2 automnes 3 hivers,0.0,Hiver,0
1176,0,,2009-04-15,94,15033,,Drame,Etats-Unis,,,,Un été italien,0.2068965517241379,Printemps,0
1177,8000000,,2011-11-16,99,15199,,Comédie dramatique,Etats-Unis,,,,50/50,0.1034482758620689,Automne,0
1178,0,,2020-03-11,97,15510,,Thriller,Islande,,,65,Vivarium,0.0,Printemps,0
1179,0,,2022-01-26,75,15718,,Drame,Belgique,,,,Un monde,0.0,Hiver,0
1180,500000,,2006-08-16,110,15759,,Drame,Etats-Unis,,,,Brick,0.0,Été,0
1181,37419,,2012-11-21,151,15803,,Drame,Portugal,,,,Les Lignes de Wellington,0.0,Automne,0
1182,0,,2011-06-15,125,15798,,Romance,Italie,,,,L'Amour a ses raisons,0.1724137931034483,Été,0
1183,2000000,,2017-02-22,107,16092,,Drame,Etats-Unis,,,,Certaines Femmes,0.2413793103448276,Hiver,0
1184,0,,2009-05-27,90,16074,,Drame,Etats-Unis,,,33,The Other Man,0.0,Printemps,0
1185,0,,2004-12-29,130,16163,,Drame,Etats-Unis,,,,Nous étions libres,0.0689655172413793,Hiver,0
1186,9000000,,2003-05-07,97,16478,,Comédie,Etats-Unis,,,,Igby,0.0,Printemps,0
