,budget,compositeur,date,duree,entrees_premiere_semaine,franchise,genre,pays,producteur,remake,salles_premiere_semaine,titre,scoring_acteurs_realisateurs,season,coeff_studio
35,200000000,James Newton Howard,2022-04-13,143,1132062,,Fantasy,Etats-Unis,,,806,Les Animaux Fantastiques 3 : Les Secrets de Dumbledore,0.2068965517241379,Printemps,3
36,150000000,,2016-11-30,103,1073991,,Animation,Etats-Unis,,,727,"Vaiana, la légende du bout du monde",0.0689655172413793,Automne,3
37,12014679,,2012-02-29,105,1082028,,Comédie,France,,,501,Les Infidèles,1.0689655172413792,Hiver,0
38,3999990,,2004-04-07,109,1083231,,Aventure - Action,France,,,739,Deux frères,0.0,Printemps,2
39,11029596,,2012-04-25,109,1086313,,Comédie,France,,Remake,457,Le Prénom,0.0,Printemps,2
40,58800000,,2015-02-18,132,1083056,,Guerre,Etats-Unis,,,411,American Sniper,0.6206896551724138,Hiver,3
41,75000000,,1996-11-27,90,1085065,,Animation,Etats-Unis,,,635,Le Bossu de Notre Dame,0.0,Automne,2
42,145000000,Hans Zimmer,2012-06-06,94,1087767,Franchise,Animation,Etats-Unis,,,685,Madagascar 3 Bons Baisers D’Europe,0.5517241379310345,Été,3
43,52000000,,2018-10-31,135,1077661,,Drame,Etats-Unis,,,505,Bohemian Rhapsody,0.0,Automne,3
44,92000000,,1996-08-21,113,1078707,,Catastrophe,Etats-Unis,Steven Spielberg,,509,Twister,0.0,Été,0
45,120000000,James Newton Howard,2001-11-28,95,1075085,,Animation,Etats-Unis,,,800,"Atlantide, l'empire perdu",0.0,Automne,2
46,30000000,,2023-04-05,121,1007159,,Aventure - Action,France,,,732,Les Trois Mousquetaires: D'Artagnan,0.3793103448275862,Printemps,2
47,125000000,,2004-05-26,124,1009004,,Catastrophe,Etats-Unis,,,726,Le Jour d'après,0.0689655172413793,Printemps,2
48,205000000,,2020-08-26,150,948378,,Science Fiction,Etats-Unis,Christopher Nolan,,678,Tenet,0.5172413793103449,Été,3
49,35000000,Danny Elfman,1989-09-13,125,898739,Franchise,Comicbook,Etats-Unis,,,,Batman,0.5862068965517242,Automne,3
50,92000000,,2001-08-08,92,900178,Franchise,Aventure - Action,Etats-Unis,Steven Spielberg,,702,Jurassic Park III,0.0,Été,0
51,90000000,,1995-08-02,128,919184,Franchise,Aventure - Action,Etats-Unis,,,494,Une journée en enfer,0.1379310344827586,Été,2
52,90000000,Brian Tyler,2016-07-27,129,910322,,Thriller,Etats-Unis,,,604,Insaisissables 2,0.3793103448275862,Été,2
53,150000000,Hans Zimmer,2017-07-19,106,925204,,Guerre,Etats-Unis,Christopher Nolan,,668,Dunkerque,0.4482758620689655,Été,3
54,41000000,,2003-02-26,101,922854,,Drame,Etats-Unis,Brian Grazer,,477,8 Mile,0.0,Hiver,0
55,200000000,,2021-07-07,133,909000,,Comicbook,Etats-Unis,Kevin Feige,,607,Black Widow (2021),0.0689655172413793,Été,3
56,20970000,,2004-02-18,100,908719,Franchise,Thriller,France,Luc Besson,,650,"Les Rivières pourpres 2, Les Anges de l'Apocalypse",0.2068965517241379,Hiver,2
57,150000000,- Junkie XL,2015-05-14,120,905012,Franchise,Aventure - Action,Australie,,,802,Mad Max: Fury Road,0.0689655172413793,Printemps,3
58,178000000,,2016-05-18,144,902696,Franchise,Comicbook,Etats-Unis,,,641,X-Men: Apocalypse,0.4482758620689655,Printemps,3
