iter	Passed	Remaining
163	1656	8444
164	1665	8427
165	1674	8412
166	1683	8395
167	1691	8378
168	1700	8363
169	1711	8353
170	1720	8343
171	1730	8331
172	1740	8320
173	1748	8302
174	1757	8287
175	1767	8273
176	1776	8258
177	1785	8243
178	1795	8233
179	1805	8225
180	1825	8258
181	1852	8326
182	1862	8313
183	1882	8346
184	1891	8332
185	1900	8318
186	1909	8302
187	1918	8285
188	1927	8269
189	1936	8254
190	1945	8241
191	1955	8227
192	1964	8213
193	1973	8197
194	1983	8186
195	1991	8170
196	2001	8156
197	2010	8144
198	2020	8132
199	2029	8117
200	2038	8101
201	2047	8087
202	2056	8072
203	2065	8058
204	2074	8043
205	2083	8032
206	2093	8020
207	2102	8007
208	2111	7992
209	2121	7979
210	2130	7967
211	2139	7954
212	2149	7941
213	2158	7929
214	2168	7918
215	2177	7904
216	2186	7890
217	2196	7880
218	2206	7869
219	2216	7859
220	2226	7849
221	2236	7837
222	2246	7826
223	2255	7813
224	2264	7801
225	2273	7787
226	2283	7775
227	2292	7762
228	2301	7748
229	2310	7734
230	2319	7720
231	2328	7708
232	2337	7695
233	2346	7681
234	2356	7669
235	2365	7657
236	2374	7644
237	2383	7631
238	2392	7619
239	2402	7606
240	2412	7598
241	2422	7589
242	2432	7576
243	2441	7565
244	2450	7552
245	2460	7540
246	2469	7528
247	2478	7516
248	2487	7502
249	2496	7490
250	2506	7479
251	2514	7464
252	2524	7452
253	2532	7439
254	2542	7428
255	2551	7415
256	2562	7406
257	2571	7394
258	2580	7382
259	2590	7371
260	2599	7358
261	2608	7346
262	2617	7334
263	2627	7325
264	2636	7312
265	2645	7300
266	2654	7288
267	2663	7275
268	2673	7264
269	2682	7252
270	2691	7240
271	2700	7227
272	2709	7214
273	2717	7200
274	2726	7187
275	2735	7176
276	2744	7163
277	2754	7152
278	2763	7141
279	2773	7132
280	2783	7121
281	2791	7108
282	2801	7097
283	2809	7083
284	2819	7073
285	2829	7063
286	2839	7053
287	2847	7040
288	2857	7029
289	2866	7017
290	2875	7005
291	2885	6996
292	2895	6986
293	2905	6976
294	2914	6964
295	2923	6953
296	2935	6948
297	2945	6938
298	2955	6927
299	2963	6915
300	2972	6903
301	2981	6891
302	2990	6879
303	3000	6869
304	3009	6856
305	3018	6845
306	3027	6834
307	3037	6825
308	3047	6814
309	3056	6802
310	3065	6791
311	3074	6778
312	3083	6767
313	3091	6754
314	3101	6744
315	3110	6732
316	3120	6722
317	3129	6711
318	3138	6699
319	3147	6687
320	3155	6675
321	3164	6663
322	3173	6651
323	3182	6639
324	3190	6627
325	3199	6615
326	3208	6602
327	3217	6591
328	3226	6580
329	3236	6570
330	3245	6558
331	3254	6547
332	3263	6536
333	3272	6525
334	3281	6513
335	3290	6502
336	3299	6491
337	3308	6479
338	3317	6467
339	3326	6456
340	3334	6443
341	3343	6432
342	3352	6421
343	3361	6410
344	3370	6398
345	3380	6389
346	3390	6379
347	3399	6368
348	3408	6357
349	3416	6345
350	3426	6335
351	3435	6324
352	3444	6313
353	3453	6302
354	3462	6290
355	3470	6278
356	3480	6267
357	3489	6257
358	3498	6247
359	3507	6236
360	3516	6224
361	3525	6214
362	3535	6203
363	3544	6193
364	3553	6182
365	3562	6171
366	3571	6160
367	3581	6150
368	3589	6138
369	3598	6127
370	3608	6117
371	3617	6107
372	3628	6098
373	3638	6089
374	3647	6079
375	3656	6068
376	3665	6057
377	3675	6047
378	3685	6038
379	3694	6027
380	3703	6016
381	3712	6006
382	3721	5994
383	3730	5984
384	3740	5974
385	3749	5964
386	3758	5952
387	3767	5942
388	3775	5930
389	3785	5921
390	3794	5910
391	3803	5900
392	3812	5889
393	3822	5878
394	3832	5869
395	3842	5860
396	3852	5850
397	3861	5840
398	3870	5829
399	3879	5818
400	3888	5808
401	3897	5797
402	3906	5786
403	3915	5776
404	3924	5765
405	3933	5755
406	3942	5744
407	3951	5734
408	3960	5722
409	3969	5711
410	3978	5701
411	3987	5690
412	3996	5680
413	4005	5669
414	4014	5659
415	4023	5648
416	4033	5638
417	4042	5629
418	4052	5619
419	4062	5609
420	4071	5598
421	4079	5587
422	4088	5576
423	4097	5566
424	4106	5556
425	4116	5547
426	4126	5537
427	4134	5526
428	4143	5515
429	4152	5504
430	4162	5494
431	4170	5483
432	4180	5473
433	4188	5462
434	4197	5451
435	4206	5441
436	4215	5430
437	4224	5421
438	4234	5410
439	4244	5402
440	4254	5392
441	4263	5382
442	4272	5371
443	4281	5361
444	4290	5350
445	4298	5339
446	4307	5329
447	4316	5318
448	4325	5307
449	4333	5297
450	4342	5286
451	4351	5275
452	4360	5265
453	4369	5255
454	4379	5245
455	4388	5235
456	4397	5225
457	4406	5215
458	4415	5204
459	4424	5194
460	4433	5184
461	4443	5174
462	4452	5164
463	4461	5154
464	4471	5144
465	4480	5133
466	4489	5123
467	4498	5113
468	4507	5103
469	4516	5092
470	4525	5082
471	4534	5072
472	4543	5062
473	4552	5051
474	4561	5041
475	4570	5031
476	4579	5020
477	4588	5010
478	4596	5000
479	4606	4990
480	4614	4979
481	4624	4969
482	4633	4959
483	4643	4951
484	4653	4941
485	4662	4930
486	4671	4920
487	4679	4910
488	4688	4899
489	4697	4889
490	4706	4878
491	4714	4868
492	4723	4858
493	4732	4847
494	4741	4837
495	4750	4827
496	4760	4817
497	4769	4807
498	4778	4797
499	4787	4787
500	4797	4778
501	4806	4767
502	4815	4758
503	4825	4748
504	4834	4738
505	4843	4728
506	4854	4720
507	4864	4711
508	4873	4701
509	4882	4691
510	4892	4681
511	4901	4672
512	4911	4662
513	4921	4653
514	4931	4644
515	4942	4636
516	4960	4634
517	4971	4626
518	4982	4617
519	4991	4607
520	5003	4600
521	5014	4591
522	5025	4583
523	5036	4574
524	5047	4566
525	5059	4559
526	5070	4551
527	5080	4541
528	5090	4532
529	5101	4523
530	5110	4513
531	5119	4503
532	5129	4493
533	5138	4484
534	5148	4475
535	5157	4464
536	5166	4454
537	5175	4444
538	5184	4434
539	5193	4424
540	5203	4414
541	5212	4404
542	5221	4394
543	5231	4385
544	5241	4375
545	5250	4365
546	5259	4355
547	5268	4345
548	5278	4336
549	5287	4325
550	5297	4316
551	5306	4306
552	5314	4296
553	5324	4286
554	5334	4277
555	5344	4267
556	5353	4257
557	5362	4247
558	5370	4236
559	5379	4226
560	5388	4216
561	5397	4206
562	5406	4196
563	5415	4186
564	5425	4177
565	5434	4167
566	5444	4157
567	5453	4147
568	5463	4138
569	5472	4128
570	5481	4118
571	5492	4109
572	5502	4100
573	5512	4090
574	5522	4081
575	5531	4071
576	5541	4062
577	5551	4053
578	5560	4043
579	5570	4033
580	5579	4023
581	5588	4013
582	5597	4003
583	5606	3993
584	5615	3983
585	5625	3974
586	5634	3964
587	5644	3954
588	5654	3945
589	5663	3935
590	5673	3926
591	5683	3917
592	5693	3907
593	5702	3897
594	5711	3887
595	5721	3878
596	5731	3868
597	5740	3858
598	5750	3849
599	5759	3839
600	5769	3830
601	5778	3820
602	5787	3810
603	5796	3800
604	5806	3790
605	5815	3781
606	5825	3771
607	5835	3762
608	5844	3752
609	5855	3743
610	5865	3734
611	5874	3724
612	5884	3715
613	5893	3704
614	5902	3694
615	5910	3684
616	5920	3674
617	5929	3665
618	5938	3655
619	5948	3645
620	5956	3635
621	5966	3625
622	5975	3616
623	5985	3606
624	5994	3596
625	6003	3586
626	6013	3577
627	6022	3567
628	6031	3557
629	6040	3547
630	6050	3538
631	6060	3528
632	6070	3519
633	6080	3509
634	6088	3499
635	6098	3490
636	6107	3480
637	6116	3470
638	6125	3460
639	6134	3450
640	6143	3440
641	6152	3430
642	6161	3420
643	6169	3410
644	6178	3400
645	6187	3390
646	6196	3380
647	6205	3370
648	6214	3360
649	6222	3350
650	6231	3340
651	6241	3331
652	6250	3321
653	6260	3312
654	6269	3302
655	6278	3292
656	6287	3282
657	6296	3272
658	6305	3262
659	6314	3252
660	6323	3243
661	6332	3233
662	6341	3223
663	6351	3213
664	6360	3204
665	6369	3194
666	6378	3184
667	6387	3174
668	6396	3164
669	6405	3154
670	6414	3144
671	6423	3135
672	6432	3125
673	6442	3116
674	6451	3106
675	6461	3096
676	6470	3087
677	6479	3077
678	6488	3067
679	6497	3057
680	6505	3047
681	6514	3037
682	6523	3027
683	6532	3018
684	6541	3008
685	6550	2998
686	6559	2988
687	6568	2978
688	6576	2968
689	6585	2958
690	6594	2949
691	6604	2939
692	6613	2929
693	6622	2920
694	6631	2910
695	6642	2901
696	6651	2891
697	6661	2882
698	6676	2875
699	6685	2865
700	6694	2855
701	6703	2845
702	6712	2835
703	6721	2826
704	6730	2816
705	6740	2806
706	6749	2797
707	6757	2787
708	6766	2777
709	6775	2767
710	6784	2757
711	6793	2747
712	6802	2738
713	6810	2728
714	6819	2718
715	6828	2708
716	6838	2699
717	6847	2689
718	6856	2679
719	6866	2670
720	6875	2660
721	6884	2650
722	6893	2640
723	6902	2631
724	6911	2621
725	6920	2611
726	6929	2602
727	6938	2592
728	6947	2582
729	6957	2573
730	6966	2563
731	6975	2553
732	6985	2544
733	6994	2534
734	7004	2525
735	7013	2515
736	7022	2506
737	7033	2496
738	7043	2487
739	7053	2478
740	7063	2468
741	7072	2459
742	7082	2449
743	7091	2440
744	7101	2430
745	7110	2420
746	7119	2411
747	7128	2401
748	7137	2391
749	7145	2381
750	7154	2372
751	7163	2362
752	7172	2352
753	7181	2342
754	7190	2333
755	7198	2323
756	7207	2313
757	7216	2304
758	7225	2294
759	7234	2284
760	7243	2274
761	7252	2265
762	7261	2255
763	7271	2246
764	7280	2236
765	7290	2226
766	7298	2217
767	7307	2207
768	7317	2197
769	7326	2188
770	7335	2178
771	7344	2169
772	7353	2159
773	7362	2149
774	7371	2140
775	7381	2130
776	7390	2120
777	7398	2111
778	7408	2101
779	7417	2092
780	7426	2082
781	7435	2072
782	7444	2063
783	7453	2053
784	7463	2044
785	7474	2034
786	7484	2025
787	7492	2015
788	7501	2006
789	7510	1996
790	7519	1986
791	7528	1977
792	7537	1967
793	7546	1957
794	7556	1948
795	7565	1938
796	7574	1929
797	7583	1919
798	7593	1910
799	7602	1900
800	7611	1891
801	7621	1881
802	7630	1871
803	7638	1862
804	7647	1852
805	7657	1843
806	7667	1833
807	7677	1824
808	7686	1814
809	7695	1805
810	7705	1795
811	7714	1786
812	7724	1776
813	7732	1766
814	7741	1757
815	7750	1747
816	7759	1738
817	7768	1728
818	7777	1718
819	7787	1709
820	7796	1699
821	7804	1690
822	7813	1680
823	7822	1670
824	7831	1661
825	7841	1651
826	7850	1642
827	7859	1632
828	7869	1623
829	7884	1614
830	7894	1605
831	7902	1595
832	7912	1586
833	7921	1576
834	7930	1567
835	7938	1557
836	7948	1547
837	7956	1538
838	7965	1528
839	7975	1519
840	7984	1509
841	7993	1499
842	8002	1490
843	8011	1480
844	8020	1471
845	8029	1461
846	8038	1452
847	8047	1442
848	8056	1432
849	8065	1423
850	8075	1413
851	8085	1404
852	8095	1395
853	8103	1385
854	8113	1375
855	8122	1366
856	8131	1356
857	8141	1347
858	8150	1337
859	8160	1328
860	8168	1318
861	8177	1309
862	8187	1299
863	8196	1290
864	8205	1280
865	8214	1271
866	8223	1261
867	8232	1251
868	8241	1242
869	8250	1232
870	8259	1223
871	8268	1213
872	8278	1204
873	8288	1194
874	8297	1185
875	8306	1175
876	8315	1166
877	8324	1156
878	8333	1147
879	8342	1137
880	8350	1128
881	8359	1118
882	8368	1108
883	8377	1099
884	8386	1089
885	8395	1080
886	8404	1070
887	8413	1061
888	8422	1051
889	8431	1042
890	8440	1032
891	8449	1023
892	8458	1013
893	8467	1003
894	8475	994
895	8486	985
896	8495	975
897	8505	966
898	8514	956
899	8523	947
900	8531	937
901	8541	927
902	8550	918
903	8559	908
904	8568	899
905	8577	889
906	8586	880
907	8595	870
908	8604	861
909	8612	851
910	8621	842
911	8630	832
912	8639	823
913	8648	813
914	8657	804
915	8666	794
916	8675	785
917	8685	775
918	8694	766
919	8703	756
920	8713	747
921	8721	737
922	8730	728
923	8739	718
924	8749	709
925	8757	699
926	8767	690
927	8776	680
928	8785	671
929	8793	661
930	8802	652
931	8812	642
932	8821	633
933	8830	624
934	8839	614
935	8848	605
936	8857	595
937	8866	586
938	8875	576
939	8884	567
940	8894	557
941	8903	548
942	8912	538
943	8921	529
944	8931	519
945	8940	510
946	8949	500
947	8958	491
948	8967	481
949	8977	472
950	8986	463
951	8995	453
952	9004	444
953	9013	434
954	9023	425
955	9032	415
956	9042	406
957	9052	396
958	9064	387
959	9075	378
960	9092	369
961	9104	359
962	9114	350
963	9124	340
964	9136	331
965	9146	321
966	9156	312
967	9166	303
968	9176	293
969	9185	284
970	9195	274
971	9204	265
972	9214	255
973	9223	246
974	9232	236
975	9241	227
976	9251	217
977	9260	208
978	9270	198
979	9280	189
980	9290	179
981	9299	170
982	9308	160
983	9317	151
984	9327	142
985	9336	132
986	9345	123
987	9354	113
988	9363	104
989	9372	94
990	9382	85
991	9391	75
992	9399	66
993	9409	56
994	9418	47
995	9427	37
996	9437	28
997	9446	18
998	9455	9
999	9464	0
